energy_ev,efficiency_order_-25,efficiency_order_-24,efficiency_order_-23,efficiency_order_-22,efficiency_order_-21,efficiency_order_-20,efficiency_order_-19,efficiency_order_-18,efficiency_order_-17,efficiency_order_-16,efficiency_order_-15,efficiency_order_-14,efficiency_order_-13,efficiency_order_-12,efficiency_order_-11,efficiency_order_-10,efficiency_order_-9,efficiency_order_-8,efficiency_order_-7,efficiency_order_-6,efficiency_order_-5,efficiency_order_-4,efficiency_order_-3,efficiency_order_-2,efficiency_order_-1,efficiency_order_0,efficiency_order_1,efficiency_order_2,efficiency_order_3,efficiency_order_4,efficiency_order_5,efficiency_order_6,efficiency_order_7,efficiency_order_8,efficiency_order_9,efficiency_order_10,efficiency_order_11,efficiency_order_12,efficiency_order_13,efficiency_order_14,efficiency_order_15,efficiency_order_16,efficiency_order_17,efficiency_order_18,efficiency_order_19,efficiency_order_20,efficiency_order_21,efficiency_order_22,efficiency_order_23,efficiency_order_24,efficiency_order_25,diffraction_angle_deg_order_-25,diffraction_angle_deg_order_-24,diffraction_angle_deg_order_-23,diffraction_angle_deg_order_-22,diffraction_angle_deg_order_-21,diffraction_angle_deg_order_-20,diffraction_angle_deg_order_-19,diffraction_angle_deg_order_-18,diffraction_angle_deg_order_-17,diffraction_angle_deg_order_-16,diffraction_angle_deg_order_-15,diffraction_angle_deg_order_-14,diffraction_angle_deg_order_-13,diffraction_angle_deg_order_-12,diffraction_angle_deg_order_-11,diffraction_angle_deg_order_-10,diffraction_angle_deg_order_-9,diffraction_angle_deg_order_-8,diffraction_angle_deg_order_-7,diffraction_angle_deg_order_-6,diffraction_angle_deg_order_-5,diffraction_angle_deg_order_-4,diffraction_angle_deg_order_-3,diffraction_angle_deg_order_-2,diffraction_angle_deg_order_-1,diffraction_angle_deg_order_0,diffraction_angle_deg_order_1,diffraction_angle_deg_order_2,diffraction_angle_deg_order_3,diffraction_angle_deg_order_4,diffraction_angle_deg_order_5,diffraction_angle_deg_order_6,diffraction_angle_deg_order_7,diffraction_angle_deg_order_8,diffraction_angle_deg_order_9,diffraction_angle_deg_order_10,diffraction_angle_deg_order_11,diffraction_angle_deg_order_12,diffraction_angle_deg_order_13,diffraction_angle_deg_order_14,diffraction_angle_deg_order_15,diffraction_angle_deg_order_16,diffraction_angle_deg_order_17,diffraction_angle_deg_order_18,diffraction_angle_deg_order_19,diffraction_angle_deg_order_20,diffraction_angle_deg_order_21,diffraction_angle_deg_order_22,diffraction_angle_deg_order_23,diffraction_angle_deg_order_24,diffraction_angle_deg_order_25
50.0,9.108481544207028e-05,5.895007012792017e-05,6.827960733958666e-05,8.437374961726262e-05,7.703981148895307e-05,8.547957285487229e-05,0.00010195677077022847,0.00011268792067807837,0.00010443137159917182,0.00013923746910671813,0.0001734125849819729,0.00012095824580447961,0.00022445439108391367,0.00027305921329302113,0.00013439455389050746,0.0004414740947687927,0.00043269271326702887,0.00017619408139559796,0.0010723058764532001,0.0006876298770139946,0.0005277113877910644,0.0035405603370739593,0.00112067412106722,0.0057188049466298605,0.03919290433860886,0.7572809393075579,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.443908863445074,40.57788377207388,39.69629578466584,38.79805365811375,37.881942056276806,36.946600757765104,35.99049916925804,35.01190478081956,34.00884370553947,32.97905073283735,31.919905276127125,30.828348020108905,29.700770649131364,28.532867207683132,27.319429403774024,26.054057638388535,24.728741050446132,23.333225797914665,21.854024375341254,20.272780035826898,18.563384620134798,16.68644527017065,14.577325397340658,12.115293466158093,9.015622340555609,4.000000000000043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60.0,0.00021499392928393728,0.0001170014059721572,0.00013615344596406366,0.00017317065556821137,0.00013558006285310347,0.0001663914121726479,0.0001904291457215074,0.00018580134466487965,0.00020021356646699514,0.00023335983024138713,0.0002767080778578759,0.0002274121939550665,0.0003395879467088603,0.0004293574871986078,0.00024160618768263853,0.000626982764389349,0.0006758775047051288,0.0002765192648431829,0.0014909939450308887,0.0010712417564667153,0.0006922378627307337,0.004919282053748147,0.0017485683798094478,0.007553927110415675,0.05451932085391625,0.7507647092909595,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.727426310053325,36.94660075776511,36.151361892615924,35.34071849210817,34.513566655703976,33.66867098629079,32.804641534161746,31.91990527612714,31.012670458853336,30.0808814961542,29.122161170553625,28.133735479709266,27.112334302138407,26.05405763838855,24.95419162388059,23.80694914738052,22.605093498036354,21.33937330915093,19.997638457525795,18.563384620134826,17.01319792164763,15.311873059069754,13.401935191968363,11.176900501616302,8.389645509317276,4.000000000000128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
70.0,0.0003071569698341558,0.0001753630641096635,0.00018769623658067888,0.0002538550496389248,0.00018867080491196585,0.00023231010275543353,0.00027995906655015155,0.00024466058508518023,0.00028810765725069155,0.00033300189020577767,0.0003538171139696897,0.000340884376928196,0.0004533228544839092,0.0005483566579971144,0.0003757804202070874,0.0007830644711071882,0.0008791376094217216,0.00041671583992311626,0.0018190517967807327,0.001432046928161308,0.0008675805579982083,0.006093757961257602,0.002407874660184361,0.009185172548794803,0.06971721624934782,0.7281009772106755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.87015771828826,34.153718444275434,33.42382294097402,32.67955763961033,31.919905276127125,31.143727622325613,30.3497443387063,29.536506828714217,28.702365570412915,27.845428820199288,26.963509729777833,26.054057638388535,25.114067339116176,24.13995702449016,23.127400592828295,22.071091552917864,20.964400995176362,19.798865027537445,18.563384620134798,17.242912058772163,15.816153021261798,14.251197562253566,12.496206306817058,10.45589172636997,7.9124896307686186,4.000000000000043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
80.0,0.0004931445985322787,0.0002868359499695982,0.0002810178577449095,0.0003963724745890561,0.0002847624099730331,0.00034232767196859255,0.0004302686166595493,0.00034463026494680263,0.000426458907239919,0.0004933383875567274,0.0004746505574472479,0.0005122211072544333,0.0006272002235787401,0.0007210738084048087,0.0005730127601791691,0.0010037586667153155,0.001158421743451032,0.000619157060685719,0.0022429335936079305,0.0019112181505749873,0.0011017855144233434,0.007528856767454446,0.0032638435320075185,0.011090179933601617,0.08777503906534213,0.7136148735857895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.5854646759068,31.91990527612714,31.24169581805971,30.549985501411136,29.84382714337211,29.122161170553625,28.383796025086852,27.62738395184673,26.85139076255797,26.05405763838855,25.23335224938701,24.38690529633689,23.51192678300849,22.605093498036354,21.662394599301848,20.678914499078303,19.6485188177962,18.563384620134826,17.413268710318007,16.18430978152439,14.856940312447804,13.401935191968363,11.772044157333355,9.881078656044693,7.534952908764481,4.000000000000128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90.0,0.000676239685231579,0.000433321837730086,0.0003951894783506231,0.0005586695436321115,0.0004187178164174535,0.000474777892868934,0.000616578222496125,0.0004834458394969044,0.0005937791118091947,0.0007035120904629887,0.0006314944920950217,0.0007253000676247252,0.0008569153006850594,0.000928718150070652,0.000828556539431442,0.0012763408836866514,0.0014828186750543335,0.0008920619895707171,0.002712894322638612,0.002469257656180435,0.001399502105275381,0.009059622236743767,0.004274688019262846,0.013100343621472502,0.10749566579159972,0.6979911495300302,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.704912515712067,30.080881496154184,29.444889088523126,28.796136703899045,28.13373547970925,27.45669132490191,26.763886623772734,26.054057638388535,25.3257663055293,24.57736462946967,23.806949147380507,23.01230186044222,22.19081236476336,21.33937330915093,20.454237086533084,19.530814598225575,18.563384620134798,17.544659849708694,16.46511246866092,15.311873059069725,14.066817881848479,12.702966158118315,11.176900501616302,9.410012267886245,7.227774780095132,4.000000000000043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100.0,0.00074017646758269,0.000529480842897495,0.0005028551807419845,0.0006747937595534672,0.0005460969695045934,0.0006209996181003549,0.0007948884524863756,0.000646853586918318,0.0007962319958786157,0.0009398899877672665,0.0008276847085523277,0.0009951714408337148,0.0011266099761482397,0.0011819487014883853,0.001159727739879566,0.0015791750444192865,0.0018674716951239984,0.0012472206005816754,0.003188628540864883,0.003126189582089449,0.001750987116708026,0.01059099371958109,0.005464540822784463,0.015069928588681062,0.12815464879722926,0.6788089550009603,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.12216117055361,28.532867207683132,27.932208022155038,27.319429403774024,26.693692075849476,26.054057638388535,25.39947137852822,24.728741050446132,24.040510406174633,23.333225797914665,22.60509349803634,21.854024375341254,21.07756102550144,20.272780035826898,19.43615815678045,18.563384620134798,17.649090489235533,16.68644527017065,15.666531340439832,14.577325397340658,13.401935191968334,12.115293466158093,10.677246924869166,9.015622340555609,6.972349028947534,4.000000000000043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
110.0,0.0007449830147922543,0.000552589423467669,0.000551356735659874,0.0007150673400534919,0.000598400900406252,0.0007155019260502915,0.0009116857576870808,0.0007739526474665704,0.000994785843279084,0.0011881653287079282,0.0010319985253491176,0.0013241085300194526,0.0014528729677198656,0.0014534420649689275,0.001594265584330733,0.0019169536654364725,0.002277207898453363,0.001722427594294756,0.003633449747824458,0.00384024124599036,0.0021895045809792856,0.01199003813218095,0.006787752255034287,0.0169241174134067,0.14879279648288884,0.6553018289496468,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.766322168098476,27.20664893719892,26.636132708510218,26.054057638388535,25.45962732759172,24.851951542714687,24.2300299857246,23.592732267871042,22.938772943565866,22.26668002829814,21.574754793732083,20.861019691517996,20.12314981933116,19.358381089041814,18.563384620134798,17.73409081271616,16.86543602782575,15.950985698613678,14.982351111948859,13.948242344473982,12.832834315133255,11.612716944258509,10.250559696102783,8.679735599183942,6.756222279782023,4.000000000000043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
120.0,0.0006255357395268514,0.0004911866457804439,0.000505752811118007,0.0006360457094729647,0.0005327437628888614,0.0006487161788306808,0.0008065720086242036,0.0006957210914576375,0.0009477460703461291,0.0011665095085921398,0.0010647752020591316,0.001479632935234148,0.0016995009499049824,0.0016313525320053425,0.002027655231697891,0.0022682847934152634,0.00259401662204441,0.002305918084612858,0.003986265671545192,0.004454452786619821,0.002749923938340786,0.012942830703873498,0.008042252253282119,0.018426573491757903,0.16633203399227572,0.6218515691121702,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.5880783549623,26.05405763838855,25.509656133659917,24.95419162388059,24.38690529633689,23.80694914738052,23.21337059431326,22.605093498036354,21.980894517242845,21.33937330915093,20.67891449907833,19.997638457525795,19.293336575596342,18.563384620134826,17.80462435107323,17.01319792164763,16.18430978152439,15.311873059069754,14.387963517781984,13.401935191968363,12.338899720932346,11.176900501616302,9.881078656044693,8.389645509317276,6.570714442852491,4.000000000000128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
130.0,0.0005011341967664938,0.00040305889726601954,0.00044210759412308386,0.0005382523297255312,0.0004653155955308931,0.0005720619412048348,0.0006981474822661098,0.000589393066861766,0.0008099446342834933,0.0009632827530107435,0.0008804924827456054,0.0012954475230482327,0.0015613464344301777,0.0015462731275983094,0.002153408969316793,0.002462878861500184,0.0026936553338698264,0.002823499510047609,0.004224383433356078,0.004824590427002005,0.0033848422647637113,0.013392831328785004,0.009022728521157245,0.019599414287147957,0.17925619915067734,0.5789841787429453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.55191680686734,25.040397211545553,24.51890962427933,23.986801636398738,23.44334775792099,22.887737429280307,22.319060381202533,21.73628858867596,21.138253797703968,20.523619220618087,19.890843436975487,19.238133704924607,18.563384620134784,17.86409607789507,17.137261306119782,16.379210436004684,15.58538591965737,14.750009564284554,13.865569460383654,12.921991178661202,11.905217349750558,10.794579595613783,9.557405601711935,8.136169892284855,6.409572995038118,3.999999999999943,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
140.0,0.00040843706895264366,0.0003239166468346911,0.0003720234829830985,0.0004394417248343351,0.00038557326002837687,0.0004901998671124393,0.0005855237655968143,0.0005052970889761491,0.000695995134099805,0.0008157133384540672,0.0007182488707783946,0.0010744999738144978,0.0012569216548750186,0.001260562934761759,0.0018974406758506146,0.0023046036282504904,0.002505672075161925,0.0030829896891858676,0.00429477875357787,0.004907176386173216,0.00402873646058574,0.013413450417343596,0.009685853698427236,0.020538530886247533,0.18758101595443477,0.5308621852913282,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.631527759186,24.13995702449016,23.638789879869734,23.127400592828295,22.60509349803634,22.071091552917864,21.524522367911075,20.964400995176362,20.3896085063504,19.798865027537445,19.190695371391683,18.563384620134798,17.91491981726459,17.242912058772163,16.544490275662753,15.816153021261798,15.05355599411152,14.251197562253566,13.401935191968334,12.496206306817058,11.520697333479006,10.45589172636997,9.27106825583462,7.9124896307686186,6.268169548557026,4.000000000000043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
