Energy	cff = 2.25	alpha = 2 deg	alpha = 4 deg	cff = 2.25	cff = 2.25
eV					
	1 order	1 order	1 order	2 order	3 order
195.8223	0.1141369	0.1132157	0.15726	0.012448142	0.0073544551
200.0417	0.1148331	0.114823	0.15534	0.012358945	0.0073690293
204.3521	0.1155093	0.1164027	0.15077	0.012266348	0.0073818099
208.7553	0.1162053	0.1179936	0.14917	0.012170038	0.0073989392
213.2534	0.1171336	0.1198153	0.14828	0.012097806	0.0074511627
217.8484	0.1183079	0.1218897	0.14784	0.012052674	0.0075398167
222.5424	0.1198858	0.1243922	0.14807	0.012056897	0.0076873191
227.3375	0.1214979	0.1269387	0.1482	0.012068418	0.007840191
232.236	0.1232289	0.1296209	0.14839	0.012092478	0.0080111064
237.24	0.1253547	0.1327462	0.14917	0.012162633	0.0082409596
242.3519	0.1277385	0.1361753	0.15019	0.012276417	0.008511032
247.5739	0.1298665	0.1393358	0.15043	0.012371014	0.0087454766
252.9084	0.1319176	0.1424195	0.15028	0.012458771	0.0089704813
258.3578	0.134052	0.1456067	0.15001	0.012561961	0.0092107449
263.9247	0.1361077	0.1487084	0.14928	0.012667434	0.009442226
269.6116	0.1379178	0.1515212	0.1478	0.012750912	0.0096392827
275.4209	0.1395457	0.1541089	0.14571	0.012818284	0.0098128067
281.3555	0.1407591	0.1561821	0.14262	0.012839243	0.0099335741
287.4179	0.1410476	0.1571053	0.13776	0.012748399	0.0099476986
293.6109	0.1435063	0.1606345	0.13621	0.012947729	0.01022076
299.9374	0.145567	0.1636664	0.13369	0.013103639	0.010447132
306.4002	0.1474847	0.1665012	0.13063	0.01324972	0.010656978
313.0023	0.1493576	0.1692544	0.12719	0.013399577	0.010863262
319.7466	0.1512004	0.1719396	0.12341	0.013556823	0.011067814
326.6362	0.1530194	0.1745595	0.1193	0.013722761	0.011271426
333.6743	0.1548226	0.1771199	0.1149	0.013899728	0.011475122
340.864	0.1566167	0.1796248	0.11021	0.014089871	0.011679973
348.2086	0.1584143	0.1820861	0.10527	0.014295275	0.011888026
355.7115	0.1602206	0.1845068	0.10011	0.014518254	0.01210021
363.3761	0.1620441	0.1868939	0.09476	0.014761288	0.012318006
371.2058	0.1639182	0.1892891	0.08928	0.015029212	0.012547038
379.2043	0.1658833	0.1917444	0.08373	0.015328846	0.012794198
387.3751	0.1680618	0.1944286	0.07826	0.015679656	0.013081289
395.7219	0.1705779	0.1975175	0.07299	0.01611105	0.013433702
404.2486	0.1730904	0.2005328	0.06771	0.016601441	0.013799361
412.959	0.1752414	0.2029568	0.06258	0.01708753	0.014111197
421.8571	0.1771415	0.2049307	0.05639	0.017575799	0.014385276
430.9469	0.1788757	0.2065639	0.05006	0.01807831	0.014636101
440.2326	0.1804797	0.2078976	0.04374	0.018601358	0.014869947
449.7183	0.1820095	0.2090041	0.03756	0.019154074	0.015096867
459.4085	0.1834275	0.20982	0.03159	0.019737687	0.015311956
469.3074	0.1846855	0.2102662	0.02589	0.02034612	0.015506513
479.4197	0.1857342	0.2102607	0.02055	0.020969033	0.015670154
489.7498	0.1865807	0.2098059	0.01569	0.021607677	0.015804268
500.3025	0.1872005	0.2088585	0.01139	0.022258855	0.015904959
511.0826	0.1874609	0.2072168	0.00772	0.02289805	0.01594769
522.095	0.1870044	0.2043501	0.00477	0.023443064	0.01586088
533.3447	0.1858191	0.200252	0.00264	0.023835607	0.015629936
544.8367	0.1817488	0.1920572	0.00133	0.023668367	0.014996123
556.5764	0.1843558	0.1929886	9.89937E-4	0.024797667	0.015360983
568.569	0.1861171	0.1926072	0.0015	0.025902206	0.015663207
580.8201	0.1874241	0.1913752	0.00294	0.02703524	0.015917752
593.3351	0.1883269	0.1893527	0.00538	0.028171515	0.016116677
606.1198	0.1889413	0.1867026	0.00896	0.029325392	0.016276974
619.18	0.1893336	0.1835184	0.01376	0.03050442	0.016408464
