Energy	cff = 2.25	alpha = 2 deg	alpha = 4 deg	cff = 2.25	cff = 2.25
eV					
	1 order	1 order	1 order	2 order	3 order
258.3578	0.1215383	0.13281	0.14987	0.01133	0.00924
263.9247	0.1235675	0.13591	0.15011	0.01144	0.00946
269.6116	0.1253828	0.13877	0.14963	0.01153	0.00966
275.4209	0.12704	0.14144	0.14859	0.01161	0.00983
281.3555	0.1283215	0.14365	0.14655	0.01164	0.00995
287.4179	0.1287379	0.14478	0.14266	0.01156	0.00996
293.6109	0.1312098	0.14842	0.14236	0.01176	0.01023
299.9374	0.1333211	0.15161	0.14108	0.01191	0.01047
306.4002	0.1353113	0.15465	0.13927	0.01205	0.01068
313.0023	0.1372723	0.15763	0.13711	0.01219	0.01089
319.7466	0.1392183	0.16059	0.13461	0.01234	0.01111
326.6362	0.1411556	0.16351	0.1318	0.01249	0.01132
333.6743	0.1430922	0.16641	0.12868	0.01265	0.01153
340.864	0.1450348	0.16929	0.12527	0.01281	0.01175
348.2086	0.1469955	0.17216	0.12159	0.01299	0.01197
355.7115	0.1489799	0.17503	0.11766	0.01318	0.0122
363.3761	0.1509965	0.17791	0.11349	0.01339	0.01243
371.2058	0.1530771	0.18084	0.10915	0.01361	0.01268
379.2043	0.1552603	0.18386	0.10471	0.01386	0.01295
387.3751	0.1576611	0.18715	0.10032	0.01415	0.01326
395.7219	0.1603941	0.19086	0.09613	0.0145	0.01363
404.2486	0.1631383	0.19455	0.09182	0.0149	0.01402
412.959	0.165564	0.19773	0.08743	0.01529	0.01435
421.8571	0.1677764	0.20052	0.08168	0.01568	0.01465
430.9469	0.1698549	0.20304	0.07556	0.01607	0.01493
440.2326	0.1718332	0.20532	0.06921	0.01649	0.0152
449.7183	0.1737643	0.20744	0.06276	0.01692	0.01546
459.4085	0.1756124	0.20932	0.05624	0.01738	0.01572
469.3074	0.1773321	0.2109	0.04969	0.01786	0.01595
479.4197	0.1788763	0.21209	0.04318	0.01835	0.01616
489.7498	0.1802507	0.21289	0.03682	0.01885	0.01635
500.3025	0.1814307	0.21324	0.03069	0.01936	0.0165
511.0826	0.1822856	0.21295	0.02486	0.01986	0.0166
522.095	0.1824652	0.21145	0.01937	0.02028	0.01657
533.3447	0.181949	0.20871	0.01441	0.02059	0.0164
544.8367	0.1785102	0.20154	0.0099	0.02039	0.0158
556.5764	0.1818087	0.20421	0.00694	0.02132	0.01627
568.569	0.1842625	0.2055	0.00444	0.02221	0.01666
580.8201	0.1862954	0.20597	0.00259	0.02313	0.017
593.3351	0.187959	0.20568	0.00151	0.02405	0.01728
606.1198	0.1893661	0.20477	0.00134	0.02499	0.01753
619.18	0.1905806	0.20335	0.00206	0.02595	0.01775
632.5215	0.1917222	0.2016	0.00369	0.02697	0.01797
646.1506	0.1928516	0.19959	0.00627	0.02807	0.01821
660.0733	0.1937661	0.19701	0.00973	0.02922	0.01843
674.296	0.1943019	0.19362	0.01396	0.03037	0.01859
688.8251	0.1944977	0.18946	0.01881	0.0315	0.01869
703.6674	0.1944068	0.18464	0.02413	0.03264	0.01875
718.8294	0.1940314	0.17914	0.02974	0.03374	0.01875
734.3181	0.1936291	0.17335	0.03554	0.03488	0.01874
750.1406	0.1932325	0.16732	0.04136	0.03608	0.01876
766.304	0.192933	0.16114	0.0471	0.03738	0.0188
782.8157	0.1929127	0.15503	0.05263	0.03886	0.01894
799.6831	0.1929051	0.14852	0.05723	0.0405	0.01914
816.914	0.1925626	0.13593	0.05953	0.04214	0.01931
834.5162	0.1919925	0.12124	0.0628	0.0438	0.01946
852.4977	0.1912297	0.10937	0.06477	0.0455	0.0196
870.8666	0.1902796	0.09816	0.06538	0.04721	0.01974
