Energy	cff = 2.25	alpha = 2 deg	alpha = 4 deg	cff = 2.25	cff = 2.25
eV					
	1 order	1 order	1 order	2 order	3 order
187.6486	0.1090319	0.1064103	0.1521709	0.012054614	0.006915682
191.6919	0.1097175	0.1079713	0.1512337	0.011965461	0.0069315103
195.8223	0.1103656	0.109491	0.1498717	0.011875505	0.0069427718
200.0417	0.1109923	0.1109826	0.1479075	0.01178252	0.006951801
204.3521	0.1116063	0.1124526	0.1434334	0.011687489	0.0069599189
208.7553	0.1122527	0.1139453	0.1418275	0.011591016	0.0069736112
213.2534	0.1131523	0.1156896	0.1409455	0.011521772	0.0070234714
217.8484	0.114317	0.1177057	0.1405338	0.011482241	0.0071105715
222.5424	0.1159053	0.1201708	0.1408314	0.011494402	0.0072567691
227.3375	0.1175324	0.122685	0.1410385	0.011514095	0.0074087079
232.236	0.1192901	0.1253482	0.1413301	0.011547679	0.0075794901
237.24	0.121463	0.1284771	0.1422377	0.011629535	0.007809802
242.3519	0.1239029	0.1319206	0.1434076	0.011755103	0.0080803689
247.5739	0.1260803	0.1350896	0.1438059	0.011860021	0.0083158026
252.9084	0.1281893	0.1381932	0.1438276	0.01195896	0.0085432576
258.3578	0.1304008	0.1414237	0.1437771	0.012075311	0.0087879868
263.9247	0.1325527	0.1445934	0.1433156	0.012195851	0.0090266345
269.6116	0.1345003	0.147526	0.1421835	0.012299608	0.0092368424
275.4209	0.1363594	0.1503491	0.1406031	0.012399334	0.0094354451
281.3555	0.138113	0.1530357	0.1385465	0.012493269	0.009619548
287.4179	0.1398463	0.1556827	0.136179	0.012589211	0.0098017706
293.6109	0.1415724	0.1583024	0.1335129	0.01269194	0.0099843834
299.9374	0.1432805	0.1608777	0.130529	0.012801154	0.010165781
306.4002	0.1449648	0.1633974	0.1272236	0.012916036	0.010344958
313.0023	0.1466528	0.1658916	0.1236448	0.013040759	0.010526248
319.7466	0.1483417	0.1683538	0.11979	0.013176573	0.010709415
326.6362	0.1500338	0.1707829	0.1156704	0.013324193	0.010894808
333.6743	0.1517276	0.1731731	0.1112915	0.013484654	0.011082297
340.864	0.1534267	0.1755253	0.1066687	0.013659636	0.011272579
