Energy;cff = 2.25
eV;
;3 order
171,154;0,00474071524790076
171,654;0,00472182489202108
172,154;0,0047025730609283
172,656;0,00467914014662424
173,155;0,00466682536239547
173,657;0,00465260272768834
174,157;0,00463463782890049
174,658;0,00461570489469644
175,157;0,0045951736288931
175,657;0,00457985707255079
176,158;0,0045658390033758
176,658;0,00454536936185101
177,16;0,00453066970922608
177,66;0,00450851346972392
178,16;0,00449744876669822
178,661;0,00448632515245926
179,16;0,00446959424745925
179,662;0,00445820555218626
180,162;0,00444360002344529
180,663;0,0044303769970924
181,162;0,00441482655151549
181,663;0,0044112255501216
182,163;0,00440452567526768
182,664;0,00439638516486181
183,164;0,00438974062661206
183,665;0,0043819882457513
184,165;0,00437887366268131
184,665;0,00437959858203543
185,166;0,00437234248283915
185,666;0,00436917827030188
186,168;0,00438178266270486
186,667;0,00438155483013729
187,167;0,00439998052154688
187,668;0,00437492801425256
188,168;0,00437854639533724
188,668;0,0043770707440455
189,167;0,00437784990396263
189,667;0,00438278356212132
190,166;0,00438294346588877
190,665;0,00437746437277195
191,165;0,00438783703170627
191,665;0,00437978893862623
192,163;0,00439149915592865
192,663;0,00439435391271167
193,162;0,00439436693758773
193,661;0,00439256591481922
194,161;0,00439943781493848
194,661;0,00439933451856581
195,16;0,00440879175321612
195,659;0,00441214047386567
196,158;0,00441235094961611
196,658;0,00441508246475737
197,157;0,00441767180305892
197,658;0,00442647762397382
198,157;0,00442761409773172
198,655;0,00443642190111139
199,156;0,00444178058396331
199,654;0,00443958640332431
200,155;0,00444467670937676
200,654;0,00446177482475526
201,153;0,00446321984904642
201,652;0,00447171790762998
202,151;0,00447251322638007
202,652;0,00448762805966533
203,15;0,00449641762879933
203,651;0,00450233006058125
204,149;0,00452022548712795
204,649;0,00452543108303973
205,149;0,00453298151149077
205,648;0,0045501024020459
206,148;0,00455642955421076
206,646;0,00456997467094541
207,147;0,00457403612174995
207,645;0,00458023281310778
208,145;0,00458900709789492
208,645;0,00460301288703792
209,143;0,00460584690206348
209,643;0,00462496708588031
210,142;0,00461619539566414
210,641;0,00463952534577588
211,141;0,00464252563146045
211,64;0,00464282275822933
212,141;0,00465084247784988
212,639;0,00465988812523131
213,14;0,00465854504299032
213,639;0,00466828771897581
214,137;0,00466687597622673
214,637;0,00467997872346235
215,137;0,0046880823708727
215,636;0,00467715478459567
216,136;0,00468663145211667
216,636;0,00469117662105666
217,134;0,0046936346914542
217,633;0,00468554092603682
218,134;0,00469272341288065
218,633;0,00469353250866022
219,132;0,0047029626988252
219,631;0,0046991634367223
220,131;0,004708107033151
220,63;0,00470652719115591
221,129;0,00470649607794721
221,629;0,00470948694030907
222,128;0,00471726521983719
222,629;0,00472141560848178
223,128;0,0046987790866052
223,626;0,00473330631524143
224,126;0,00474748632259675
224,625;0,00474917473749963
225,125;0,00476285455498417
225,624;0,00476818907846746
226,125;0,00477107063754423
226,623;0,00478251606032144
227,122;0,00479280838526891
227,622;0,00480074218470752
228,122;0,00481473774847534
228,622;0,00482053587611636
229,12;0,00483434362816259
229,619;0,00483495818121535
231,118;0,00488049472305982
232,117;0,00489855151017738
233,115;0,00492574378212253
234,114;0,0049478866407778
235,114;0,00498100918068724
236,113;0,00502750932873873
237,112;0,00506198326484512
238,109;0,00508963290077103
239,108;0,00512562420810156
240,106;0,00512852880738274
241,106;0,00516999540117898
242,104;0,00520568366340441
243,105;0,00524289360456846
244,104;0,00527966538318591
245,101;0,00530317281500178
246,1;0,00535188713633684
247,1;0,00538071018427085
248,098;0,00540463929571187
249,097;0,00544640264045881
250,096;0,00547392893928742
251,096;0,00550219248694307
252,093;0,00553054084174215
253,092;0,00556472224706084
254,09;0,00557689915588283
255,09;0,00559869936952785
256,089;0,00564091938342275
257,088;0,00565961838872511
258,087;0,00573260984547104
259,086;0,00573164391015355
260,085;0,00576781076092845
261,083;0,00578353078620609
262,083;0,00581958412198364
263,082;0,0058712628084351
264,079;0,00590785990186519
265,078;0,00595608970321749
266,077;0,00599046411848598
267,076;0,00603673545741639
268,075;0,00607172514982277
269,075;0,00610220477379728
270,073;0,00613219194062098
271,071;0,00617165280925077
272,07;0,00619919562358004
273,069;0,0062239015363307
274,069;0,00624617474809472
275,068;0,00625684005561399
276,065;0,00628468851988186
277,064;0,00628478668876777
278,063;0,00631240383233555
279,062;0,0063349349434552
280,061;0,00635791171373937
281,06;0,0063324631386544
282,059;0,00643065695203616
283,057;0,00641190223671715
284,057;0,00672648351448967
285,055;0,00655568468991049
286,054;0,00646251921706387
287,053;0,00655682652365466
288,051;0,00647438035960686
289,05;0,00707962636648283
290,049;0,00647617929636318
291,048;0,00663342884342265
292,046;0,00634510329679786
293,046;0,00684279928038639
294,045;0,00673613065168026
295,044;0,00663066347686885
296,041;0,00661069027814401
297,042;0,00685596618190233
298,039;0,00675767473702204
299,039;0,00706002644270633
300,038;0,00699432203729586
301,038;0,00705601544987804
302,035;0,00711680863481685
303,033;0,00707088825824164
304,033;0,00720114789033906
305,033;0,00735141328695202
306,032;0,00715314184923367
307,031;0,00721504017829111
308,028;0,00728269078544996
309,027;0,0072857511022907
310,027;0,00728635094260726
311,025;0,00735027635976496
312,025;0,00745275806187482
313,023;0,007395849929127
314,022;0,00740061923845867
315,02;0,00747640348595589
316,02;0,00750377713409234
317,018;0,00756641008599683
318,017;0,00760831045816667
319,016;0,00765726704751644
320,015;0,00765367735714984
321,012;0,00770698758462602
322,012;0,00778983712699501
323,012;0,00776343960792635
324,01;0,00785090618794024
325,008;0,0078830128902739
326,008;0,00789431919021369
327,005;0,00798590328005425
328,005;0,00801626612620086
329,004;0,00806996789393634
330,002;0,00811820264302856
331,002;0,0081792599862814
332,002;0,00818424326324718
332,999;0,00826761529355584
333,998;0,00828410371511803
334,997;0,00831884703066215
335,995;0,00837309194571962
336,994;0,00842280378396178
337,995;0,00842349693236332
338,993;0,00846813174491606
339,991;0,00850333577647121
340,99;0,00851538194163352
341,988;0,00854736714889987
342,987;0,0086018206599044
343,987;0,0085837850461344
344,986;0,00864689871431215
345,985;0,00868916003878867
346,984;0,00870789777239317
347,982;0,00877995510957646
348,982;0,00883589521854693
349,979;0,00887758232045417
350,98;0,00887843242432039
351,977;0,00896494041571981
352,973;0,00903266934924801
353,969;0,00911122542290246
354,962;0,00910059898189192
355,96;0,00912751942826901
356,952;0,00919470227641972
357,949;0,0092032836894573
358,943;0,00927493434664749
359,938;0,00927355610739047
360,932;0,00936610240592591
361,928;0,00942035654543633
362,922;0,00946709513644009
363,916;0,009516016673317
364,912;0,00954258609043157
365,907;0,00959828774758261
366,901;0,00967545127423518
367,895;0,00968517321816483
368,891;0,00972365902788213
369,886;0,00975604578084683
370,879;0,00980836408453634
371,876;0,00985942199532804
372,871;0,00987012631280118
373,866;0,00992369431940275
374,859;0,00998465143512551
375,855;0,0100210392269376
376,851;0,0100626544810557
377,843;0,0101133579230318
378,841;0,0101711738860209
379,835;0,0101928922984061
380,83;0,0102396794602274
381,825;0,0103178609339379
382,819;0,0103576746423165
383,815;0,0103749916196727
384,809;0,0104101712727427
385,803;0,0105454346775401
386,798;0,0105286774572293
387,792;0,0105625937009453
388,788;0,0106156000802671
389,782;0,0108653586248014
390,777;0,0106288837153322
391,773;0,0106768477373264
392,768;0,0107303117176094
393,762;0,0107546246208161
394,759;0,0107903571167077
395,75;0,0108199732094117
396,747;0,0108442677490491
397,742;0,0107764481678071
398,736;0,01087476349295
399,73;0,0109266433340216
400,725;0,011010670236208
401,72;0,0111056908712627
402,716;0,011150120175102
403,711;0,0111978094242814
404,704;0,0112566029142665
405,701;0,0113219708246482
406,694;0,0113759909012257
407,689;0,0114225714055901
408,685;0,0114904695317174
409,678;0,0115266454903984
410,674;0,0115543029762723
411,67;0,0115951248993736
412,663;0,0116431573818949
413,66;0,0116951432142924
414,652;0,0117501354413352
415,649;0,0117735962583137
416,642;0,0118305521322664
417,639;0,0118676029376394
418,633;0,0118900773983779
419,629;0,0119367550645038
420,623;0,011960245442024
421,619;0,0119934363747711
422,613;0,0120352876636574
423,605;0,0120751685810566
424,601;0,0120898513936159
425,598;0,0122107567272555
426,592;0,0121627222612144
427,587;0,0121953904870952
428,584;0,0122275197037284
429,576;0,0122733023329483
430,571;0,0123131560797316
431,569;0,0123541712399281
432,563;0,0123887250862644
433,558;0,0124301914720145
434,549;0,0124645408217405
435,549;0,0125045298096296
436,542;0,0125495720621715
437,535;0,0125860398253954
438,532;0,0126375576057151
439,525;0,0126630679880242
440,524;0,0127104814368741
441,515;0,0127531280241694
442,511;0,0128015064106735
443,504;0,0128425411360313
444,499;0,0128743272326947
445,496;0,0129162812041074
446,487;0,0129634633457067
447,484;0,0129894874107026
448,477;0,0130357235099285
449,475;0,0130725289639063
450,47;0,0131133316011837
451,462;0,0131520362232369
452,458;0,0131856236436494
453,45;0,0132202324644809
454,44;0,0132621784992844
455,433;0,0132957282528246
456,425;0,013326244210701
457,415;0,013368711602052
458,408;0,0133972157428285
459,402;0,0134401462074786
460,389;0,0134772633463101
461,383;0,0135074317745192
462,374;0,0135461168615379
463,365;0,0135816444731115
464,356;0,0136210955568978
465,348;0,0136578125451778
466,34;0,0137034830271579
467,331;0,0137466368969585
468,321;0,0137828374871611
469,314;0,0138218189840577
470,302;0,013857230624179
471,296;0,0139047360610116
472,288;0,0139544321098678
473,279;0,0139931458772683
474,272;0,0140372681004469
475,26;0,0140781947629872
476,252;0,0141199501567453
477,244;0,0141677365442414
478,234;0,0142155606929804
479,229;0,0142849104387047
480,221;0,0143082956699779
481,211;0,0143523456085021
482,202;0,0143958501353783
483,19;0,01443679903225
484,184;0,0144500566068746
485,176;0,014501261369228
486,165;0,0145246736591686
487,159;0,0145573030102071
488,15;0,0145954890003599
489,141;0,0146315061535789
490,133;0,0146430947402296
491,123;0,0146750753371976
492,116;0,0146962369926066
493,109;0,0147182857739411
494,101;0,0147401889152375
495,09;0,0147592526503623
496,079;0,014790298968638
497,071;0,0148064009386258
498,064;0,0148418551010566
499,056;0,0148671500786551
500,047;0,0148788196063954
501,043;0,0148898134128023
502,029;0,0148981737650376
503,023;0,0149266501726862
504,013;0,0149240885552093
