Energy;alpha = 2 deg
eV;
;1 order
174,157;0,0974186188788154
174,658;0,0974019433663713
175,157;0,0974364795542283
175,657;0,0974871066891897
176,158;0,097508527099795
176,659;0,0974306713971535
177,159;0,0974525743432231
177,66;0,0975080992403082
178,161;0,0975193214085362
178,661;0,0974348691597603
179,16;0,0975303167130669
179,662;0,0975181765591911
180,161;0,0976282469875105
180,663;0,097662900748377
181,162;0,0976813962896922
181,663;0,097796447314717
182,163;0,0979273895313419
182,664;0,0980295976106326
183,165;0,0981348347495283
183,665;0,098259945277414
184,165;0,0982605719428815
184,666;0,0984275082651218
185,167;0,0986443081709974
185,667;0,0986274778507327
186,168;0,0989196698122454
186,667;0,0989005822167266
187,167;0,0991084397856551
187,668;0,0993176011312349
188,168;0,0992841083669128
188,667;0,0995626084780396
189,166;0,0995263428020768
189,667;0,0995168777929552
190,166;0,099956756083819
190,665;0,0999181424028247
191,165;0,10007669567039
191,665;0,100213892949687
192,163;0,100482854034397
192,662;0,100727374083677
193,162;0,10082565987369
193,661;0,100966439630363
194,162;0,10111462608308
194,66;0,101032304309498
195,16;0,101427477794503
195,659;0,1014380375541
196,158;0,101634384471833
196,658;0,101954220326192
197,158;0,102057920187422
197,657;0,102077588204843
198,157;0,102245260212145
198,655;0,102695919663581
199,156;0,102648173985931
199,654;0,102943282891824
200,154;0,103118298876093
200,654;0,103154084671326
201,153;0,103617296069753
201,652;0,103643406044553
202,152;0,103948688920968
202,652;0,103883957816473
203,15;0,104243689906419
203,651;0,104497258383537
204,15;0,104775748724711
204,649;0,104898245481193
205,149;0,104868783178719
205,648;0,105147377751869
206,148;0,105278525657938
206,646;0,105696410172026
207,147;0,105999914694425
207,645;0,106048953801323
208,145;0,106381556647908
208,645;0,106457124756083
209,143;0,106687546601475
209,643;0,106821896072022
210,142;0,106827222359041
210,641;0,107177651589442
211,141;0,107196241591534
211,64;0,10772290362502
212,14;0,107746666077143
212,64;0,107820906929038
213,14;0,107963828230186
213,639;0,108168174667949
214,137;0,108085011817356
214,637;0,108459009507705
215,137;0,108439644100514
215,636;0,108681954502667
216,135;0,108743739488116
216,636;0,109150581044245
217,134;0,108879316076173
217,633;0,109464087524465
218,133;0,109182312579819
218,632;0,10927558930891
219,132;0,109647968074822
219,631;0,109888319022072
220,13;0,109966175619066
220,63;0,109970748022368
221,129;0,110337912991988
221,629;0,110496558173262
222,129;0,111211355059397
222,629;0,110779469783218
223,128;0,110877174434074
223,626;0,110847616739188
224,127;0,111098084630685
224,626;0,111423557053089
225,126;0,111384368908807
225,624;0,111753453767183
226,126;0,112001512412189
226,623;0,112008264659484
227,122;0,112071871698983
227,622;0,112410919703423
228,122;0,112535038785349
228,622;0,112805536733053
229,12;0,113095034008635
229,62;0,113221729696894
230,119;0,11161
231,119;0,11394
232,118;0,11406
233,115;0,11476
234,115;0,11521
235,114;0,11568
236,113;0,11625
237,11;0,11676
238,11;0,11742
239,108;0,11775
240,106;0,12065
241,106;0,1186
242,104;0,11928
243,104;0,11981
244,103;0,12033
245,101;0,12078
246,1;0,12131
247,099;0,12181
248,098;0,12231
249,097;0,1227
250,096;0,12323
251,095;0,12359
252,093;0,12401
253,092;0,12449
254,091;0,12487
255,09;0,12539
256,09;0,12584
257,088;0,12624
258,086;0,12663
259,085;0,12505
260,084;0,12791
261,083;0,1285
262,083;0,12885
263,082;0,12936
264,079;0,13
265,078;0,13026
266,078;0,13108
267,076;0,13164
268,075;0,13154
269,075;0,1324
270,073;0,13275
271,071;0,1335
272,07;0,13375
273,069;0,13376
274,069;0,13428
275,067;0,13448
276,066;0,13504
277,064;0,13504
278,063;0,13491
279,063;0,13524
280,061;0,13777
281,06;0,13574
282,059;0,13633
283,057;0,13519
284,058;0,13913
285,055;0,12059
286,054;0,13381
287,052;0,13129
288,051;0,1279
289,049;0,1298
290,049;0,12695
291,048;0,12678
292,046;0,12838
293,046;0,13131
294,045;0,13358
295,044;0,13513
296,041;0,13586
297,041;0,13741
298,039;0,13846
299,039;0,13944
300,037;0,14059
301,037;0,14152
302,034;0,14525
303,034;0,14283
304,032;0,14369
305,033;0,14705
306,031;0,14465
307,03;0,14503
308,027;0,14537
309,027;0,14594
310,026;0,14617
311,026;0,1468
312,024;0,14725
313,022;0,14746
314,021;0,14774
315,02;0,14816
316,019;0,14877
317,018;0,14908
318,017;0,14952
319,016;0,15018
320,014;0,15068
321,012;0,15119
322,012;0,15117
323,012;0,15182
324,01;0,15219
325,009;0,15216
326,008;0,15312
327,005;0,15325
328,005;0,15386
329,004;0,15441
330,002;0,15479
331,002;0,15544
332,002;0,15545
332,998;0,15595
333,998;0,15628
334,997;0,15658
335,995;0,15713
336,993;0,15762
337,995;0,15788
338,991;0,15801
339,991;0,15816
340,989;0,15859
341,989;0,1586
342,987;0,15904
343,987;0,15957
344,987;0,15979
345,984;0,16022
346,985;0,16046
347,983;0,1607
348,981;0,16118
349,981;0,16168
350,98;0,16209
351,977;0,16252
352,972;0,16293
353,968;0,16342
354,962;0,1642
355,959;0,16432
356,952;0,16443
357,949;0,16503
358,942;0,16528
359,938;0,16595
360,932;0,16638
361,928;0,16691
362,922;0,1673
363,917;0,16749
364,913;0,16778
365,907;0,1682
366,901;0,16859
367,895;0,16866
368,892;0,16591
369,887;0,17046
370,881;0,17017
371,877;0,17028
372,871;0,17071
373,866;0,17081
374,859;0,1715
375,856;0,17186
376,85;0,17195
377,843;0,17266
378,841;0,17338
379,835;0,17364
380,83;0,1732
381,825;0,17372
382,818;0,17422
383,814;0,17445
384,809;0,17477
385,804;0,17516
386,797;0,17485
387,793;0,17606
388,789;0,17539
389,782;0,1761
390,777;0,17637
391,774;0,1765
392,77;0,17645
393,764;0,1769
394,758;0,17682
395,752;0,17724
396,747;0,17694
397,743;0,17608
398,735;0,1769
399,73;0,17755
400,725;0,17809
401,72;0,17864
402,716;0,17898
403,71;0,17936
404,704;0,17973
405,699;0,18025
406,694;0,18034
407,69;0,18096
408,684;0,18105
409,679;0,18134
410,676;0,18168
411,671;0,18168
412,663;0,18207
413,66;0,18228
414,652;0,18257
415,649;0,18283
416,643;0,18309
417,64;0,18311
418,633;0,18332
419,629;0,18362
420,623;0,18376
421,619;0,18384
422,613;0,18394
423,605;0,18402
424,602;0,18411
425,597;0,18428
426,591;0,18444
427,586;0,18482
428,582;0,18472
429,575;0,18494
430,572;0,18497
431,568;0,18525
432,561;0,18538
433,557;0,18564
434,549;0,18579
435,547;0,18587
436,542;0,18627
437,535;0,18644
438,532;0,18637
439,524;0,18662
440,521;0,18676
441,515;0,1869
442,511;0,18702
443,504;0,18722
444,5;0,18732
445,497;0,18739
446,488;0,18764
447,485;0,1878
448,479;0,18783
449,476;0,18774
450,47;0,18807
451,462;0,18805
452,458;0,18812
453,449;0,18844
454,44;0,18861
455,432;0,18847
456,425;0,18857
457,415;0,1886
458,41;0,18873
459,401;0,18885
460,39;0,18901
461,381;0,18898
462,372;0,1892
463,365;0,18915
464,356;0,18927
465,346;0,18923
466,338;0,18937
467,329;0,18948
468,321;0,18957
469,313;0,1896
470,302;0,18977
471,297;0,18978
472,288;0,18989
473,279;0,19008
474,273;0,19007
475,26;0,19017
476,252;0,19039
477,244;0,19021
478,234;0,19043
479,228;0,19044
480,22;0,19038
481,211;0,19055
482,202;0,19047
483,192;0,19045
484,183;0,19058
485,174;0,19058
486,166;0,19049
487,159;0,19044
488,149;0,19024
489,141;0,19041
490,13;0,19034
491,122;0,19007
492,117;0,18993
493,109;0,19021
494,099;0,18985
495,088;0,18983
496,079;0,18985
497,069;0,18945
498,063;0,1894
499,055;0,18925
500,047;0,18925
501,039;0,18892
502,027;0,18881
503,021;0,18861
504,012;0,1884
505,003;0,18818
505,994;0,18786
506,986;0,18771
507,979;0,18735
508,971;0,18705
509,96;0,18656
510,954;0,18599
511,943;0,18561
512,937;0,18519
513,933;0,18462
514,916;0,184
515,907;0,18335
516,902;0,18286
517,895;0,18223
518,883;0,18217
519,873;0,18252
520,866;0,1827
521,855;0,18271
522,846;0,18248
523,841;0,18251
524,832;0,18241
525,822;0,18227
526,815;0,18251
527,808;0,18253
528,795;0,18236
529,789;0,18042
530,781;0,1817
531,769;0,18309
532,76;0,18251
533,751;0,18355
534,745;0,18337
535,736;0,18241
536,726;0,18227
537,717;0,18261
538,707;0,18301
539,7;0,18313
540,692;0,18362
541,683;0,18352
542,676;0,18384
543,666;0,1839
544,658;0,18413
545,648;0,18441
546,64;0,18451
547,633;0,1849
548,626;0,18492
549,615;0,18491
550,605;0,18509
551,598;0,18498
552,588;0,18508
553,579;0,1851
554,571;0,18508
555,561;0,18497
556,557;0,18488
