PhotonEnergy_eV,GrazingAlpha_deg,DiffractionEfficiency,ExitAngle_beta_deg
50.0000,4.882210,0.042126,11.039870
55.0000,4.656857,0.045893,10.525498
60.0000,4.460078,0.050901,10.076914
65.0000,4.286305,0.057242,9.681194
70.0000,4.131377,0.062901,9.328708
75.0000,3.992119,0.067716,9.012117
80.0000,3.866055,0.073104,8.725715
85.0000,3.751226,0.078020,8.464991
90.0000,3.646055,0.085417,8.226322
95.0000,3.549261,0.092122,8.006767
100.0000,3.459789,0.097998,7.803901
105.0000,3.376758,0.104044,7.615713
110.0000,3.299432,0.109642,7.440514
115.0000,3.227185,0.114940,7.276876
120.0000,3.159486,0.120082,7.123580
125.0000,3.095876,0.125118,6.979581
130.0000,3.035959,0.130435,6.843976
135.0000,2.979392,0.135241,6.715979
140.0000,2.925873,0.138850,6.594906
145.0000,2.875138,0.141922,6.480153
150.0000,2.826954,0.143782,6.371189
155.0000,2.781114,0.145158,6.267543
160.0000,2.737435,0.145041,6.168796
165.0000,2.695750,0.143765,6.074574
170.0000,2.655914,0.141382,5.984542
175.0000,2.617793,0.137232,5.898398
180.0000,2.581267,0.132947,5.815869
185.0000,2.546229,0.128702,5.736711
190.0000,2.512581,0.124748,5.660699
195.0000,2.480232,0.121304,5.587631
200.0000,2.449101,0.118725,5.517321
205.0000,2.419113,0.117018,5.449601
210.0000,2.390201,0.116058,5.384314
215.0000,2.362301,0.116416,5.321319
220.0000,2.335356,0.117179,5.260484
225.0000,2.309313,0.117946,5.201689
230.0000,2.284121,0.119061,5.144823
235.0000,2.259737,0.120636,5.089782
240.0000,2.236117,0.122311,5.036470
