 Ni Density=8.902
 Energy(eV), Delta, Beta
  500.  0.00470662117  0.00111727545
  503.010742  0.00464919116  0.00109492382
  506.039673  0.00459218351  0.00107221003
  509.086792  0.00453587575  0.0010499676
  512.152283  0.00447900174  0.00102818443
  515.236206  0.0044226069  0.001006854
  518.338745  0.00436678389  0.000985965715
  521.459961  0.00431100838  0.000965510844
  524.599915  0.00425594393  0.000945480657
  527.758789  0.004201259  0.000925865606
  530.936707  0.00414695404  0.000906658708
  534.133728  0.00409334758  0.000887850241
  537.350037  0.00403993158  0.000869430485
  540.585693  0.00398710277  0.000851392571
  543.840881  0.00393486861  0.000833728467
  547.115601  0.00388282142  0.000816432526
  550.410095  0.00383145455  0.000799495319
  553.724426  0.00378049281  0.000782909221
  557.058716  0.00372991338  0.000766667014
  560.413025  0.00368000311  0.000750761887
  563.787598  0.00363028492  0.000735186215
  567.182434  0.003581119  0.000719934294
  570.597717  0.00353253097  0.000704998791
  574.03363  0.00348408404  0.000690373068
  577.490173  0.00343629159  0.000676051015
  580.967529  0.00338885933  0.000662025413
  584.465881  0.00334174349  0.000648291141
  587.985229  0.00329526979  0.000634841912
  591.525818  0.00324888155  0.000621671497
  595.087708  0.00320298644  0.00060877431
  598.671021  0.0031576117  0.000596144353
  602.27594  0.00311201997  0.000583776564
  605.902527  0.00306706713  0.000571665412
  609.551025  0.00302251871  0.000560188317
  613.221497  0.00297831767  0.000549412973
  616.914001  0.00293474155  0.000538844615
  620.628784  0.00289149815  0.000528648205
  624.365845  0.002848787  0.000518694054
  628.125549  0.00280665234  0.0005089271
  631.907837  0.0027648462  0.000499344082
  635.712891  0.00272363727  0.000489941158
  639.540771  0.00268278481  0.000480715942
  643.391846  0.00264220475  0.000471664418
  647.266052  0.00260221143  0.000462783413
  651.163574  0.00256231148  0.000454069406
  655.084534  0.00252283621  0.000445519487
  659.029175  0.00248387828  0.000437130249
  662.997559  0.00244483119  0.00042889925
  666.989807  0.00240636244  0.000420823228
  671.006104  0.00236813258  0.000412899302
  675.04657  0.00232999795  0.00040512468
  679.111389  0.00229243515  0.000397496129
  683.200684  0.00225479668  0.000390011381
  687.314575  0.00221750187  0.000382667582
  691.453308  0.00218071672  0.000375461968
  695.616821  0.00214362191  0.000368392037
  699.805542  0.00210710033  0.000361454819
  704.019409  0.00207085581  0.000354648801
  708.258728  0.00203472679  0.000347971276
  712.523499  0.0019991654  0.000341419567
  716.813965  0.00196340913  0.000334018987
  721.13031  0.00192792714  0.00032640461
  725.472656  0.00189287437  0.000318875071
  729.841064  0.00185546977  0.000309676834
  734.23584  0.00181868812  0.000300743908
  738.657043  0.00178076606  0.000292068464
  743.104858  0.00174056727  0.000283643021
  747.579529  0.00170107279  0.000275460276
  752.081116  0.0016608329  0.000269922253
  756.609802  0.00162070023  0.000265514303
  761.16571  0.00158120389  0.000261156325
  765.749084  0.00153939635  0.000256093597
  770.360107  0.0014983596  0.000251128833
  774.99884  0.00145645638  0.000246337266
  779.665527  0.00141241029  0.000241774134
  784.360291  0.00136920821  0.000237295579
  789.083374  0.00132252974  0.000233016675
  793.834778  0.00127479283  0.000228868739
  798.614929  0.0012279076  0.000224794552
  803.423828  0.00117214792  0.000220811678
  808.261658  0.00111754448  0.000216899425
  813.128601  0.00105808687  0.000213056555
  818.024902  0.000988228014  0.000209281876
  822.950684  0.000919890415  0.000205574164
  827.906067  0.000825671246  0.000201932591
  832.891357  0.000719900127  0.000198355687
  837.906616  0.000616536243  0.00019484217
  842.952087  0.00022552193  0.000191390689
  848.027954 -0.000158649156  0.000188000369
  853.134399 -0.00137873646  0.00148392189
  858.271545 -0.000533127051  0.00145408837
  863.439697  0.000292493874  0.00142485439
  868.638855  0.000652007351  0.00139620691
  873.869446  0.000761655276  0.00136813277
  879.131409  0.000868583971  0.00134062453
  884.425171  0.000925826025  0.00131366972
  889.750793  0.000980335055  0.00128725683
  895.108398  0.00102760713  0.00126137491
  900.498352  0.00106030866  0.00123601162
  905.920654  0.00109207991  0.00121115916
  911.375732  0.00111625739  0.00118680694
  916.863647  0.00113580015  0.00116294471
  922.384521  0.00115471764  0.00113956269
  927.938721  0.0011666636  0.00111705624
  933.526306  0.00117786892  0.00109501346
  939.147522  0.00118715607  0.00107332354
  944.802612  0.00119234517  0.00105185923
  950.491821  0.00119724101  0.0010308238
  956.215271  0.00119805371  0.00101006462
  961.973145  0.00119628455  0.000989634544
  967.765625  0.00119438686  0.000969618035
  973.59314  0.00118778681  0.000954258256
  979.455566  0.00118087744  0.000939417456
  985.353394  0.00117236655  0.000927439891
  991.286743  0.00115952757  0.000922840612
  997.255798  0.00114682806  0.000918263802
  1003.26086  0.00114844192  0.000919975631
  1009.302  0.00115946378  0.000926023
  1015.37958  0.00117006048  0.00093211123
  1021.49365  0.00118350098  0.000915601908
  1027.64465  0.00119672937  0.000897507882
  1033.83264  0.00120637019  0.000879693602
  1040.05786  0.00120634702  0.0008620015
  1046.32056  0.00120615249  0.000844664988
  1052.62097  0.00120489846  0.000827606884
  1058.95947  0.00120285037  0.000810842786
  1065.33594  0.00120068004  0.000794418738
  1071.75098  0.0011970764  0.00077832141
  1078.20447  0.00119324797  0.000762549869
  1084.69702  0.00118908205  0.00074709719
  1091.22852  0.00118398969  0.000731957785
  1097.79932  0.00117884972  0.000717125309
  1104.40979  0.00117318216  0.00070259138
  1111.06006  0.00116710411  0.000688350527
  1117.75024  0.00116100442  0.000674398558
  1124.48083  0.00115426641  0.000660730235
  1131.25195  0.00114744436  0.000647339621
  1138.06384  0.00114049658  0.000634220836
  1144.91663  0.00113309803  0.000621369923
  1151.81091  0.00112571381  0.000608778733
  1158.74646  0.0011180843  0.000596442609
  1165.72388  0.00111025723  0.000584356138
  1172.74341  0.00110245764  0.000572514313
  1179.80505  0.0010943329  0.00056091242
  1186.9093  0.00108619139  0.000549545512
  1194.0564  0.00107802043  0.000538408523
  1201.24634  0.00106961175  0.000527497614
  1208.47974  0.00106125011  0.000516807719
  1215.75671  0.00105278345  0.000506334007
  1223.07727  0.00104423077  0.000496072345
  1230.44214  0.0010357321  0.000486018223
  1237.85132  0.00102707383  0.000476141227
  1245.30505  0.00101843744  0.000466460187
  1252.80371  0.00100981793  0.000456969923
  1260.34753  0.00100106164  0.000447644939
  1267.93677  0.000992370187  0.000438510528
  1275.57153  0.000983624952  0.000429541804
  1283.25244  0.000974831113  0.000420736207
  1290.97961  0.000966106949  0.0004121112
  1298.7533  0.000957274984  0.000403662678
  1306.57373  0.000948480912  0.000395386975
  1314.44128  0.000939731661  0.000387280976
  1322.35632  0.000930907321  0.000379340869
  1330.31897  0.000922159757  0.00037156351
  1338.32947  0.000913412659  0.000363945204
  1346.38818  0.000904663815  0.000356482604
  1354.49548  0.000895993668  0.000349172828
  1362.65173  0.000887290749  0.000342013955
  1370.85693  0.000878643128  0.000335002231
  1379.11157  0.000870058488  0.000328134221
  1387.41589  0.000861451263  0.000321407133
  1395.77026  0.000852925645  0.000314817706
  1404.17493  0.000844432449  0.000308363436
  1412.63025  0.000835966668  0.000302041241
  1421.13647  0.000827582669  0.000295848789
  1429.69385  0.000819210487  0.000289783173
  1438.30273  0.00081090274  0.0002838418
  1446.9635  0.00080266915  0.00027802051
  1455.67651  0.000794465421  0.000272306235
  1464.44189  0.00078634324  0.000266709423
  1473.26001  0.000778270245  0.000261217239
  1482.13135  0.0007702398  0.000255825638
  1491.05603  0.000762290205  0.000250545447
  1500.03442  0.000754362671  0.000245307281
  1509.06702  0.000746499223  0.000240159905
  1518.15393  0.000738703355  0.000235119456
  1527.29541  0.000730880769  0.000230175123
  1536.49207  0.000723139674  0.000225334516
  1545.74414  0.000715442351  0.000220596383
  1555.05188  0.000707778323  0.000215958455
  1564.41565  0.000700195262  0.000211417966
  1573.83582  0.000692641886  0.000206972341
  1583.31274  0.000685153296  0.000202619747
  1592.8468  0.000677739328  0.000198358815
  1602.43811  0.000670349691  0.000194187101
  1612.08728  0.000663039682  0.000190103121
  1621.79443  0.000655787415  0.00018610472
  1631.56018  0.000648583693  0.000182189877
  1641.38464  0.000641458551  0.00017835747
  1651.26819  0.000634377066  0.000174606248
  1661.21155  0.000627361296  0.000170934043
  1671.21448  0.000620420149  0.000167339153
  1681.27771  0.000613518816  0.000163820281
  1691.40161  0.000606693793  0.000160375508
  1701.58643  0.000599933905  0.000157003553
  1711.83264  0.000593233446  0.000153703033
  1722.14038  0.000586607493  0.000150471926
  1732.51038  0.000580034219  0.000147289436
  1742.94275  0.000573526311  0.000144167236
  1753.43787  0.000567089068  0.00014111081
  1763.99622  0.000560685003  0.000138111543
  1774.61829  0.000554352999  0.000135175986
  1785.3042  0.000548076292  0.000132300629
  1796.05432  0.000541844696  0.000129483175
  1806.86938  0.000535683648  0.000126725688
  1817.74951  0.000529570912  0.000124026905
  1828.69519  0.000523518829  0.000121385609
  1839.70667  0.000517534907  0.000118800475
  1850.78455  0.000511593302  0.000116270567
  1861.92908  0.0005057198  0.000113794515
  1873.14075  0.000499904621  0.00011137106
  1884.41992  0.00049414055  0.000108999018
  1895.76697  0.000488442893  0.000106677508
  1907.1825  0.000482796924  0.000104405925
  1918.66663  0.000477210036  0.000102183054
  1930.21985  0.000471687439  0.000100007521
  1941.84277  0.000466208323  9.787827E-05
  1953.53552  0.000460792857  9.57943703E-05
  1965.29895  0.000455434754  9.3754461E-05
  1977.13306  0.000450128631  9.17575526E-05
  1989.03833  0.000444884383  8.98031576E-05
  2001.01538  0.000439693977  8.78989667E-05
  2013.06458  0.00043456073  8.60392392E-05
  2025.18628  0.000429487322  8.42188092E-05
  2037.38098  0.000424464641  8.24175513E-05
  2049.64917  0.000419500662  8.06548051E-05
  2061.99121  0.000414590177  7.89291953E-05
  2074.40747  0.000409727974  7.7239376E-05
  2086.89868  0.000404922728  7.55856745E-05
  2099.46484  0.000400162389  7.39664611E-05
  2112.10693  0.000395451818  7.23813719E-05
  2124.82495  0.000390796806  7.08302759E-05
  2137.61963  0.000386185915  6.93117472E-05
  2150.49146  0.000381629157  6.78256984E-05
  2163.44067  0.000377122662  6.63709143E-05
  2176.46777  0.000372661452  6.49458452E-05
  2189.57349  0.000368252979  6.35513788E-05
  2202.75806  0.0003638911  6.21871004E-05
  2216.02222  0.000359577738  6.08521877E-05
  2229.36597  0.00035531554  5.95459824E-05
  2242.79028  0.000351095659  5.8266116E-05
  2256.29517  0.000346925692  5.70137017E-05
  2269.88159  0.000342802668  5.57878411E-05
  2283.5498  0.000338722515  5.458745E-05
  2297.30005  0.000334691053  5.34129358E-05
  2311.1333  0.000330702867  5.22637274E-05
  2325.0498  0.000326759386  5.11392718E-05
  2339.05029  0.000322862848  5.00390088E-05
  2353.13501  0.000319006387  4.89615013E-05
  2367.30444  0.000315195648  4.79071095E-05
  2381.55933  0.00031142903  4.68754261E-05
  2395.89966  0.000307703944  4.58659015E-05
  2410.3269  0.00030402327  4.48780993E-05
  2424.84058  0.000300383137  4.39107971E-05
  2439.44189  0.000296784128  4.29637985E-05
  2454.1311  0.000293228251  4.20372598E-05
  2468.90869  0.000289710355  4.11302681E-05
  2483.77539  0.000286234281  4.02428195E-05
  2498.73145  0.000282798952  3.93746086E-05
  2513.77783  0.000279402069  3.85253443E-05
  2528.91455  0.00027604599  3.76944263E-05
  2544.14258  0.000272727455  3.68805595E-05
  2559.46216  0.000269446871  3.6083653E-05
  2574.87402  0.000266205752  3.53039686E-05
  2590.37842  0.000263000169  3.45412554E-05
  2605.97656  0.000259832741  3.37949969E-05
  2621.66846  0.00025670277  3.30647526E-05
  2637.45508  0.00025360813  3.23498462E-05
  2653.33643  0.00025055086  3.16504011E-05
  2669.31372  0.000247528515  3.09659299E-05
  2685.38696  0.000244541239  3.02962071E-05
