Cr Density=7.19
 Energy(eV), Delta, Beta
  500.  0.00217012176  0.000502718613
  503.010742  0.00210298272  0.000489795057
  506.039673  0.00202274113  0.000480306888
  509.086792  0.00195416575  0.00047091188
  512.152283  0.00188833056  0.000461281306
  515.236206  0.00180957129  0.000450745749
  518.338745  0.00172992062  0.000443421013
  521.459961  0.0016473307  0.000434634916
  524.599915  0.00156646618  0.000426023093
  527.758789  0.00147523219  0.000417581963
  530.936707  0.00138170994  0.000411234971
  534.133728  0.00128129544  0.000404957187
  537.350037  0.00117382314  0.000396651099
  540.585693  0.00105536799  0.000390186295
  543.840881  0.000918288832  0.000380820304
  547.115601  0.000784341421  0.000371679576
  550.410095  0.000624311739  0.000362758932
  553.724426  0.000420363242  0.000354758173
  557.058716  0.000157732255  0.000348045753
  560.413025 -0.000157202288  0.000342355896
  563.787598 -0.000597003032  0.000337352336
  567.182434 -0.0012061951  0.000337028032
  570.597717 -0.00254526222  0.000371730188
  574.03363 -0.00732974615  0.00373391365
  577.490173  0.00190647063  0.00557489134
  580.967529 -0.000528478879  0.00256228121
  584.465881  0.00183790282  0.00845890492
  587.985229  0.00340341474  0.00398356747
  591.525818  0.00271203788  0.00326281809
  595.087708  0.00260139862  0.00282093813
  598.671021  0.00239928137  0.00256823679
  602.27594  0.00229948154  0.00239896146
  605.902527  0.0021869326  0.00226856326
  609.551025  0.00212532608  0.00220592809
  613.221497  0.00206586346  0.00210112403
  616.914001  0.00197425927  0.00206965045
  620.628784  0.00197543181  0.00206440082
  624.365845  0.00193275721  0.00198337389
  628.125549  0.00186009647  0.00198755064
  631.907837  0.00184662326  0.00203361083
  635.712891  0.00187133334  0.00205300935
  639.540771  0.00194020045  0.00204350054
  643.391846  0.00197667349  0.00197341619
  647.266052  0.00199622428  0.00190255605
  651.163574  0.00196616212  0.00181864202
  655.084534  0.00192998897  0.00178063172
  659.029175  0.00192218099  0.00179447501
  662.997559  0.00191479654  0.00180918071
  666.989807  0.00194840122  0.00176099699
  671.006104  0.00194050057  0.00167402334
  675.04657  0.00188760378  0.0016192128
  679.111389  0.00182468235  0.00159561494
  683.200684  0.00176072575  0.00160513993
  687.314575  0.00173276209  0.00165586057
  691.453308  0.00174545939  0.0016932881
  695.616821  0.00177857396  0.00170892593
  699.805542  0.00181251008  0.00169875275
  704.019409  0.00184336992  0.00167905353
  708.258728  0.00186856801  0.00164478424
  712.523499  0.00189290277  0.00161121506
  716.813965  0.0018991729  0.00156543439
  721.13031  0.00189582282  0.00151579001
  725.472656  0.00188487303  0.00147932442
  729.841064  0.0018614938  0.0014422735
  734.23584  0.00183429802  0.00142458442
  738.657043  0.00181869301  0.00141041365
  743.104858  0.00181788835  0.00141032808
  747.579529  0.00181684515  0.00141024368
  752.081116  0.00182551891  0.0014101587
  756.609802  0.00182933733  0.00138901768
  761.16571  0.00184055918  0.00136583438
  765.749084  0.00184738543  0.00133987807
  770.360107  0.00186374236  0.00130015507
  774.99884  0.00185764197  0.00127296371
  779.665527  0.00186225097  0.00123316818
  784.360291  0.00185159466  0.00119113328
  789.083374  0.00183090579  0.00114755973
  793.834778  0.00180237077  0.00111984264
  798.614929  0.00178124243  0.00110002293
  803.423828  0.00176343881  0.00108009111
  808.261658  0.00175492035  0.00105240464
  813.128601  0.00174654135  0.00102932774
  818.024902  0.00171394774  0.00102076668
  822.950684  0.00168188405  0.00101227616
  827.906067  0.00166213489  0.00100349821
  832.891357  0.00165664381  0.000994368689
  837.906616  0.00165104726  0.000985322404
  842.952087  0.00164515956  0.000966371736
  848.027954  0.00163913833  0.000945820764
  853.134399  0.00163249264  0.000925706583
  858.271545  0.00162379281  0.000906018948
  863.439697  0.00161506759  0.000886750058
  868.638855  0.00160482479  0.000867892057
  873.869446  0.00159356324  0.00084943499
  879.131409  0.00158234139  0.000831371348
  884.425171  0.00156992034  0.000813691644
  889.750793  0.00155752804  0.000796387671
  895.108398  0.00154495961  0.000779451395
  900.498352  0.00153200224  0.000762873562
  905.920654  0.00151913415  0.00074664905
  911.375732  0.00150585349  0.000730769418
  916.863647  0.00149248366  0.000715227332
  922.384521  0.00147918204  0.000700049684
  927.938721  0.00146566273  0.000685485487
  933.526306  0.00145225518  0.000671224843
  939.147522  0.00143882586  0.000657271012
  944.802612  0.00142536708  0.000643617532
  950.491821  0.00141202461  0.000630247814
  956.215271  0.00139858841  0.000617153884
  961.973145  0.00138523744  0.000604332483
  967.765625  0.0013719541  0.000591777381
  973.59314  0.00135862431  0.000579482818
  979.455566  0.0013454177  0.000567444018
  985.353394  0.00133220211  0.000555655453
  991.286743  0.0013190296  0.00054411171
  997.255798  0.00130598177  0.000532808132
  1003.26086  0.00129286991  0.000521738199
  1009.302  0.0012798839  0.000510898302
  1015.37958  0.00126696134  0.000500283088
  1021.49365  0.00125406077  0.000489889237
  1027.64465  0.00124128733  0.000479711161
  1033.83264  0.00122852612  0.000469745893
  1040.05786  0.00121585524  0.000459988049
  1046.32056  0.00120329414  0.000450432999
  1052.62097  0.00119074073  0.000441075856
  1058.95947  0.00117831514  0.000431913097
  1065.33594  0.00116595568  0.000422940531
  1071.75098  0.00115366385  0.000414153852
  1078.20447  0.00114149961  0.000405549828
  1084.69702  0.00112936145  0.000397123134
  1091.22852  0.0011173375  0.000388871849
  1097.79932  0.001105414  0.000380792277
  1104.40979  0.0010935436  0.000372881448
  1111.06006  0.00108179916  0.000365134882
  1117.75024  0.00107012095  0.000357550191
  1124.48083  0.00105853472  0.000350123213
  1131.25195  0.00104707119  0.000342850719
  1138.06384  0.0010356498  0.000335727091
  1144.91663  0.00102435204  0.00032875163
  1151.81091  0.00101314648  0.000321921136
  1158.74646  0.00100201846  0.000315233483
  1165.72388  0.000991011504  0.000308684772
  1172.74341  0.000980072422  0.000302272063
