Energy[eV];Delta;Beta
29,99855;0,23868;0,48346
30,01333;0,23875;0,48313
30,02813;0,23881;0,48281
30,04294;0,23887;0,48249
30,05776;0,23894;0,48217
30,0726;0,239;0,48184
30,08746;0,23906;0,48152
30,10233;0,23913;0,4812
30,11721;0,23919;0,48088
30,13211;0,23925;0,48055
30,14702;0,23932;0,48023
30,16195;0,23938;0,47991
30,17689;0,23945;0,47959
30,19185;0,23951;0,47926
30,20682;0,23957;0,47894
30,22181;0,23964;0,47862
30,23681;0,2397;0,4783
30,25183;0,23976;0,47797
30,26686;0,23986;0,47765
30,28191;0,23997;0,47733
30,29697;0,24008;0,47701
30,31205;0,24019;0,47669
30,32714;0,24029;0,47637
30,34225;0,2404;0,47605
30,35737;0,24051;0,47573
30,37251;0,24062;0,47541
30,38766;0,24073;0,47509
30,40283;0,24084;0,47477
30,41801;0,24094;0,47445
30,43321;0,24105;0,47412
30,44842;0,24116;0,4738
30,46365;0,24127;0,47348
30,4789;0,24138;0,47316
30,49415;0,24149;0,47284
30,50943;0,24159;0,47252
30,52472;0,2417;0,4722
30,54002;0,24181;0,47188
30,55534;0,24192;0,47156
30,57068;0,24203;0,47124
30,58603;0,24214;0,47092
30,6014;0,24225;0,4706
30,61678;0,24235;0,47028
30,63218;0,24246;0,46995
30,64759;0,24257;0,46963
30,66302;0,24268;0,46931
30,67846;0,24279;0,46899
30,69392;0,2429;0,46867
30,70939;0,243;0,46835
30,72489;0,24311;0,46803
30,74039;0,24322;0,46771
30,75591;0,24338;0,46739
30,77145;0,24356;0,46707
30,787;0,24374;0,46675
30,80257;0,24392;0,46643
30,81816;0,2441;0,46611
30,83376;0,24428;0,46579
30,84937;0,24446;0,46548
30,86501;0,24464;0,46516
30,88065;0,24482;0,46484
30,89632;0,245;0,46452
30,912;0,24518;0,4642
30,92769;0,24536;0,46388
30,94341;0,24554;0,46356
30,95913;0,24572;0,46324
30,97488;0,2459;0,46292
30,99064;0,24608;0,46261
31,00641;0,24626;0,46229
31,0222;0,24644;0,46197
31,03801;0,24662;0,46165
31,05384;0,2468;0,46133
31,06968;0,24698;0,46101
31,08553;0,24716;0,46069
31,1014;0,24734;0,46037
31,11729;0,24752;0,46005
31,1332;0,2477;0,45973
31,14912;0,24788;0,45942
31,16506;0,24806;0,4591
31,18101;0,24824;0,45878
31,19698;0,24842;0,45846
31,21297;0,2486;0,45814
31,22897;0,24878;0,45782
31,24499;0,24899;0,45749
31,26103;0,24934;0,45711
31,27708;0,24968;0,45673
31,29315;0,25002;0,45635
31,30923;0,25036;0,45597
31,32533;0,25071;0,45559
31,34145;0,25105;0,45521
31,35759;0,25139;0,45483
31,37374;0,25174;0,45445
31,38991;0,25208;0,45407
31,40609;0,25242;0,45369
31,42229;0,25276;0,45331
31,43851;0,25311;0,45293
31,45475;0,25345;0,45256
31,471;0,25379;0,45218
31,48727;0,25414;0,4518
31,50355;0,25448;0,45142
31,51986;0,25482;0,45104
31,53617;0,25516;0,45066
31,55251;0,25551;0,45028
31,56886;0,25585;0,4499
31,58523;0,25619;0,44952
31,60162;0,25654;0,44914
31,61802;0,25688;0,44876
31,63445;0,25722;0,44838
31,65088;0,25756;0,448
31,66734;0,25791;0,44762
31,68381;0,25825;0,44724
31,7003;0,25859;0,44686
31,71681;0,25894;0,44648
31,73333;0,25928;0,4461
31,74987;0,25961;0,44567
31,76643;0,25988;0,44496
31,78301;0,26015;0,44424
31,7996;0,26042;0,44352
31,81621;0,26069;0,44281
31,83284;0,26096;0,44209
31,84948;0,26123;0,44138
31,86614;0,2615;0,44066
31,88282;0,26177;0,43994
31,89952;0,26204;0,43923
31,91624;0,26231;0,43851
31,93297;0,26258;0,4378
31,94972;0,26285;0,43708
31,96649;0,26312;0,43636
31,98327;0,26339;0,43565
32,00007;0,26366;0,43493
32,01689;0,26393;0,43422
32,03373;0,2642;0,4335
32,05059;0,26447;0,43278
32,06746;0,26474;0,43207
32,08435;0,26501;0,43135
32,10126;0,26528;0,43064
32,11819;0,26555;0,42992
32,13513;0,26582;0,4292
32,1521;0,26609;0,42849
32,16908;0,26636;0,42777
32,18608;0,26663;0,42706
32,20309;0,2669;0,42634
32,22013;0,26717;0,42562
32,23718;0,26744;0,42491
32,25425;0,26771;0,42419
32,27134;0,2679;0,42349
32,28845;0,26804;0,4228
32,30557;0,26818;0,42211
32,32271;0,26832;0,42141
32,33988;0,26845;0,42072
32,35706;0,26859;0,42003
32,37425;0,26873;0,41934
32,39147;0,26887;0,41865
32,4087;0,269;0,41795
32,42596;0,26914;0,41726
32,44323;0,26928;0,41657
32,46052;0,26942;0,41588
32,47783;0,26955;0,41519
32,49515;0,26969;0,41449
32,5125;0,26983;0,4138
32,52986;0,26997;0,41311
32,54724;0,2701;0,41242
32,56464;0,27024;0,41173
32,58206;0,27038;0,41104
32,5995;0,27052;0,41034
32,61696;0,27065;0,40965
32,63443;0,27079;0,40896
32,65193;0,27093;0,40827
32,66944;0,27107;0,40758
32,68697;0,2712;0,40688
32,70452;0,27134;0,40619
32,72209;0,27148;0,4055
32,73968;0,27162;0,40481
32,75729;0,27175;0,40412
32,77491;0,27189;0,40342
32,79256;0,27203;0,40269
32,81022;0,27216;0,40193
