PhotonEnergy_eV,GrazingAlpha_deg,DiffractionEfficiency,ExitAngle_beta_deg
3500.0000,1.018620,0.670548,3.493542
3752.0000,0.887590,0.601113,3.347341
4100.0000,0.731060,0.682266,3.172826
4500.0000,0.597070,0.603678,3.006872
