Energy	cff = 2.25	alpha = 2 deg	alpha = 4 deg	cff = 2.25	cff = 2.25
eV					
	1 order	1 order	1 order	2 order	3 order
440	0.1723522755	0.2042229525	0.06636766086	0.01615	0.01343
445	0.1734045825	0.2053357656	0.06304396877	0.01645	0.01368
450	0.1744539841	0.206391978	0.05971899498	0.01655	0.01378
455	0.1753829224	0.2072765471	0.05638510268	0.01679	0.01391
460	0.1763294466	0.2081595418	0.05311594965	0.01699	0.01412
465	0.1772662146	0.2089873367	0.04992330819	0.01715	0.01422
470	0.1780750015	0.2096097974	0.04669833715	0.01741	0.01439
475	0.1788622814	0.2101687191	0.04355655321	0.01773	0.01448
480	0.1795884047	0.2106239396	0.04048989232	0.01771	0.01459
485	0.180338863	0.2110716481	0.03750492654	0.01807	0.01466
490	0.1808753167	0.2111847427	0.0345379413	0.01822	0.01465
495	0.1814667958	0.2113509555	0.03171376563	0.01847	0.01491
500	0.1819032557	0.2112965964	0.02893508703	0.01881	0.01491
505	0.1823386999	0.2111657424	0.02627606393	0.01897	0.0151
510	0.1827311903	0.2109541236	0.02373906115	0.01906	0.01507
515	0.1829086305	0.2103874497	0.02126938106	0.01939	0.0151
520	0.1829244687	0.2095718768	0.0189116112	0.01955	0.01513
525	0.1827780424	0.208458957	0.01667238871	0.01971	0.01505
530	0.1825367092	0.207193821	0.01459992425	0.01978	0.01499
535	0.1818862536	0.2052738544	0.01260572034	0.0199	0.0148
540	0.1806930176	0.2025770895	0.01074092656	0.01977	0.01466
545	0.1795988276	0.2000537693	0.009098210071	0.01973	0.01455
550	0.1805658079	0.2004507346	0.007811774871	0.02002	0.01469
555	0.1817972993	0.2012776356	0.006650424884	0.02033	0.01488
560	0.1829603711	0.2019549357	0.005603037012	0.02071	0.01495
565	0.1840046548	0.2024689985	0.004652412172	0.02111	0.01526
570	0.1849800516	0.2028241871	0.0038106798	0.02147	0.01535
575	0.1858421758	0.2030215823	0.003093481494	0.02188	0.01559
580	0.1866519252	0.2031041884	0.00248427571	0.02217	0.01564
585	0.1873887596	0.203056394	0.002005526228	0.02255	0.01588
590	0.1879660924	0.2027641974	0.001661267569	0.02295	0.01602
595	0.188506362	0.2023798678	0.001446401717	0.02327	0.01608
600	0.189085933	0.2020344462	0.001380304496	0.02369	0.01623
605	0.189642838	0.2016477283	0.001463678192	0.02401	0.01635
610	0.190141417	0.201132638	0.00173179588	0.02438	0.01644
615	0.1905795222	0.2004632503	0.00200648354	0.02473	0.01657
620	0.1909583707	0.1997845625	0.002429275199	0.02513	0.01664
625	0.1913847814	0.1991127063	0.002981717714	0.0255	0.01674
630	0.1916542832	0.1981974485	0.003657740111	0.02584	0.01683
635	0.1920630969	0.1974769306	0.00446983731	0.02623	0.01694
640	0.192508255	0.1967685148	0.005438882018	0.02668	0.01707
645	0.1928099386	0.1958266912	0.006405399621	0.02706	0.01716
650	0.1931312427	0.1949013328	0.00753148613	0.02748	0.01727
