Energy	Efficiency(GR)	alpha(norm)	alpha	beta	Cff
500	0.009010144611	75.82364478	14.17636	16.735553032941	1.17577026432641
502	0.00827279581	75.8880181	14.11198	16.6713642059187	1.17662360156545
504	0.007544309981	75.95193083	14.04807	16.6076544199587	1.17747901516844
506	0.007130496295	76.01685556	13.98314	16.5431583098594	1.17837189466193
508	0.006421889327	76.07587194	13.92413	16.4837631141338	1.1791362468331
510	0.005636974541	76.13880106	13.8612	16.4211191816006	1.18000708146274
512	0.004859821666	76.20184229	13.79816	16.3584601130517	1.18089388467086
514	0.004432067705	76.2607776	13.73922	16.2993486577096	1.18169303123046
516	0.003822540991	76.32207201	13.67793	16.2383230697863	1.18256256858225
518	0.003209797603	76.37913528	13.62086	16.1809394261877	1.18333929872482
520	0.002526734092	76.43641706	13.56358	16.1234492938996	1.18413280440169
522	0.002055169397	76.48886641	13.51113	16.0701065461923	1.184814908884
524	0.001635711886	76.5466706	13.45333	16.0123169733803	1.18564428721044
526	0.001172309556	76.59479085	13.40521	15.96275826732	1.18623535979449
528	8.617186462E-4	76.64591366	13.35409	15.910733344735	1.18691311580508
530	5.704354599E-4	76.6896076	13.31039	15.8650207906058	1.18740617352132
532	4.016686944E-4	76.74085943	13.25914	15.8130105554386	1.18810554884438
534	3.480624731E-4	76.81531083	13.18469	15.7415538867011	1.18943277689967
536	4.552787433E-4	76.92205679	13.07794	15.6430796285143	1.19165789569026
538	8.360681179E-4	77.00937312	12.99063	15.5610722147481	1.1933953170949
540	0.001363483761	77.07718146	12.92282	15.4955119692083	1.19462031821519
542	0.002084930426	77.13456209	12.86544	15.4387619230177	1.19557065892945
544	0.0033804201	77.19717207	12.80283	15.3777127221189	1.19668353378915
546	0.005100919495	77.25161064	12.74839	15.3235642276216	1.19757869607337
548	0.007335020699	77.30999062	12.69001	15.2661962098079	1.19860065465315
550	0.01019043265	77.36840213	12.6316	15.2088763510785	1.19963845879841
552	0.01317406543	77.42569848	12.5743	15.1525542968579	1.20065872263705
554	0.01906945773	77.48693904	12.51306	15.0930255296767	1.20181115118366
556	0.02564431349	77.54723086	12.45277	15.0343644656796	1.20295231364558
558	0.03330356023	77.60732997	12.39267	14.9759378792007	1.20410472404016
560	0.0419213444	77.66308941	12.33691	14.9211889253024	1.20514112000624
562	0.05848960241	77.72982094	12.27018	14.8574166520276	1.20653239223348
564	0.0835743754	77.80206256	12.19794	14.7891721540734	1.20811897847302
566	0.1114237166	77.8780132	12.12199	14.7179619056304	1.2098506842126
568	0.1411325026	77.94967765	12.05032	14.6503945876882	1.21147483348648
570	0.1760412479	78.0243822	11.97562	14.5804308585492	1.21322571296527
572	0.3704708378	78.25871952	11.74128	14.3794750854227	1.22040172983306
574	0.1802248566	78.37437979	11.62562	14.2764381418562	1.22372713714585
576	0.1012273676	78.29538699	11.70461	14.3327300873313	1.22027554950736
578	0.0666056937	78.22044217	11.77956	14.3859732040591	1.21702969464689
580	0.05034244036	78.1906193	11.80938	14.402309303882	1.21534946177801
582	0.04772016913	78.21783799	11.78216	14.3717838610271	1.21559007975785
584	0.04527381783	78.24611473	11.75389	14.3404381966973	1.21587072513883
586	0.04317500625	78.27411974	11.72588	14.3093497659305	1.21614745395122
588	0.04144111748	78.3018564	11.69814	14.2785263504932	1.21641984515278
590	0.04059393735	78.33757309	11.66243	14.2411958072288	1.21696884226858
592	0.03998401757	78.37184387	11.62816	14.2050949000453	1.21747564218327
594	0.03954613745	78.40986872	11.59013	14.1659527508862	1.21811891168984
596	0.03916513254	78.44309897	11.5569	14.1307976795464	1.21860384648691
598	0.0389186194	78.47647705	11.52352	14.0955641146942	1.21910049382016
600	0.03881612483	78.51714641	11.48285	14.0543982662819	1.21985929056978
602	0.03876318303	78.5542209	11.44578	14.0162323736465	1.22050059246538
604	0.03869259427	78.59088506	11.40911	13.9784410083757	1.22113579614298
606	0.03874044407	78.62678997	11.37321	13.9413263548617	1.22175151083902
608	0.03881169043	78.66289147	11.33711	13.9040937632512	1.22238215795596
610	0.03888740043	78.70362796	11.29637	13.8631132457416	1.22318836533182
612	0.03901602723	78.74117097	11.25883	13.8247973146303	1.22388822314828
614	0.03917151235	78.77871626	11.22128	13.7865199740934	1.2245971197151
616	0.03937722397	78.81554412	11.18446	13.7488850626278	1.2252878876884
618	0.03950493949	78.85064614	11.14935	13.7126908421213	1.225923815419
620	0.0397054372	78.88897374	11.11103	13.6739239029363	1.22668718395639
622	0.03994249245	78.92618743	11.07381	13.636100256741	1.22741865002142
624	0.04014862912	78.96355325	11.03645	13.5982085493591	1.22816432589286
626	0.04034509265	78.99963203	11.00037	13.5614044077123	1.22887045718098
628	0.0405901316	79.03597089	10.96403	13.52443345684	1.22959507691401
630	0.04079313064	79.07428481	10.92572	13.4859061511299	1.23040421769492
632	0.04105833739	79.11144703	10.88855	13.448351504192	1.23117903184959
634	0.04111628975	79.14767033	10.85233	13.4116134633928	1.2319261619573
636	0.04144181201	79.18443312	10.81557	13.374481786843	1.23270341452702
638	0.04179358789	79.22087616	10.77912	13.3376463319085	1.23347773841695
640	0.04188895777	79.25651496	10.74349	13.3015197634119	1.23422873606346
642	0.04212377479	79.29768346	10.70232	13.2609513358193	1.23521015912391
644	0.04256413188	79.33343206	10.66657	13.2248176152763	1.23598529338285
646	0.04281304501	79.36951843	10.63048	13.1884525999776	1.23678336528058
648	0.04296830933	79.40487659	10.59512	13.1527213504878	1.2375610899281
650	0.04341070484	79.43995084	10.56005	13.1172673677859	1.23833604842222
652	0.043758347	79.47587673	10.52412	13.0811620740003	1.23915559600907
654	0.04387979651	79.51007201	10.48993	13.0465036272528	1.23991243430684
656	0.04427150742	79.54576287	10.45424	13.0106778963188	1.24074079328274
658	0.04454393478	79.58092334	10.41908	12.9753222459812	1.24155651007879
660	0.04477881969	79.61460645	10.38539	12.9411924197364	1.24231942993718
662	0.04509908643	79.64967663	10.35032	12.9059934903114	1.24314995045508
664	0.04520477415	79.68474932	10.31525	12.8708369462592	1.24399008048548
666	0.0455063861	79.71857062	10.28143	12.8367269129059	1.24478593786844
668	0.04586177592	79.75304211	10.24696	12.802136008828	1.24561914540455
670	0.04606203219	79.78536939	10.21463	12.7693036320843	1.24636834168605
672	0.0464042475	79.82000252	10.18	12.7346664365423	1.24722718437682
674	0.04671810051	79.85464028	10.14536	12.70006292131	1.24809630082086
676	0.04694147309	79.88637375	10.11363	12.6678311103405	1.24884567323607
678	0.04743950273	79.91988087	10.08012	12.6342134694676	1.24968323318255
