# SLAG Simulation Data
# Generated with Example_SLAG_save_data.m
#
# === GRATING PARAMETERS ===
# grating_period_lpermm: 400.0
# diffraction_order: 1
# grating_width_to_period_ratio: 0.67
# grating_depth_nm: 14.9
# trapezoid_angle_left_deg: 15.0
# trapezoid_angle_right_deg: 15.0
# substrate_material: Si
# substrate_density: 2.330
#
# === LAYER PARAMETERS ===
# layer_material: Pt
# layer_thickness_nm: 28.8
# layer_density: 20.132
#
# === SIMULATION PARAMETERS ===
# z_resolution_nm: 0.1
# x_resolution_nm: 1.0
# fourier_orders: 11
#
# === INCIDENCE CONDITIONS ===
# grazing_angle_deg: 4.0
# photon_energy_min_eV: 60.0
# photon_energy_max_eV: 650.0
# photon_energy_step_eV: 5.0
# polarization: -1.0
#
# === DATA COLUMNS ===
# Column 1: photon_energy_eV
# Column 2: diffraction_efficiency
#
# photon_energy_eV;diffraction_efficiency
60.0000;0.04036800
65.0000;0.04573062
70.0000;0.05114401
75.0000;0.06165221
80.0000;0.07199553
85.0000;0.08174293
90.0000;0.09198450
95.0000;0.10128366
100.0000;0.11008061
105.0000;0.11853887
110.0000;0.12698471
115.0000;0.13531736
120.0000;0.14331619
125.0000;0.15021495
130.0000;0.15495207
135.0000;0.15861619
140.0000;0.16126186
145.0000;0.16183397
150.0000;0.16079712
155.0000;0.15795209
160.0000;0.15435787
165.0000;0.14960587
170.0000;0.14501095
175.0000;0.14112134
180.0000;0.13781571
185.0000;0.13495065
190.0000;0.13308171
195.0000;0.13125668
200.0000;0.12853441
205.0000;0.12273476
210.0000;0.12103701
215.0000;0.12019283
220.0000;0.12014576
225.0000;0.12039594
230.0000;0.12068254
235.0000;0.12123451
240.0000;0.12259649
245.0000;0.12336951
250.0000;0.12377100
255.0000;0.12401046
260.0000;0.12420242
265.0000;0.12404252
270.0000;0.12336641
275.0000;0.12243236
280.0000;0.12123363
285.0000;0.11987234
290.0000;0.11829303
295.0000;0.11659620
300.0000;0.11479465
305.0000;0.11275538
310.0000;0.11069566
315.0000;0.10852746
320.0000;0.10622996
325.0000;0.10393352
330.0000;0.10144434
335.0000;0.09892817
340.0000;0.09633826
345.0000;0.09377907
350.0000;0.09102775
355.0000;0.08833013
360.0000;0.08559267
365.0000;0.08286960
370.0000;0.08012442
375.0000;0.07746212
380.0000;0.07477956
385.0000;0.07221726
390.0000;0.06976829
395.0000;0.06741015
400.0000;0.06524038
405.0000;0.06299837
410.0000;0.06068795
415.0000;0.05766033
420.0000;0.05455097
425.0000;0.05147238
430.0000;0.04839462
435.0000;0.04531140
440.0000;0.04237535
445.0000;0.03941910
450.0000;0.03654257
455.0000;0.03370707
460.0000;0.03097869
465.0000;0.02835251
470.0000;0.02577554
475.0000;0.02330289
480.0000;0.02096004
485.0000;0.01874626
490.0000;0.01661304
495.0000;0.01464662
500.0000;0.01279346
505.0000;0.01109290
510.0000;0.00954609
515.0000;0.00812447
520.0000;0.00685289
525.0000;0.00573478
530.0000;0.00478438
535.0000;0.00399357
540.0000;0.00337521
545.0000;0.00292902
550.0000;0.00263066
555.0000;0.00248504
560.0000;0.00249271
565.0000;0.00264274
570.0000;0.00293447
575.0000;0.00336980
580.0000;0.00395048
585.0000;0.00467452
590.0000;0.00553652
595.0000;0.00653879
600.0000;0.00770333
605.0000;0.00903551
610.0000;0.01059745
615.0000;0.01184006
620.0000;0.01321857
625.0000;0.01472825
630.0000;0.01629953
635.0000;0.01799489
640.0000;0.01977299
645.0000;0.02158965
650.0000;0.02346397
