# SLAG Simulation Data
# Generated with Example_SLAG_save_data.m
#
# === GRATING PARAMETERS ===
# grating_period_lpermm: 400.0
# diffraction_order: 1
# grating_width_to_period_ratio: 0.67
# grating_depth_nm: 14.9
# trapezoid_angle_left_deg: 75.0
# trapezoid_angle_right_deg: 75.0
# substrate_material: Si
# substrate_density: 2.330
#
# === LAYER PARAMETERS ===
# layer_material: Pt
# layer_thickness_nm: 28.8
# layer_density: 20.132
#
# === SIMULATION PARAMETERS ===
# z_resolution_nm: 0.5
# x_resolution_nm: 1.0
# fourier_orders: 5
#
# === INCIDENCE CONDITIONS ===
# grazing_angle_deg: 4.0
# photon_energy_min_eV: 60.0
# photon_energy_max_eV: 2000.0
# photon_energy_step_eV: 5.0
# polarization: -1.0
#
# === DATA COLUMNS ===
# Column 1: photon_energy_eV
# Column 2: diffraction_efficiency
#
# photon_energy_eV;diffraction_efficiency
60.0000;0.04474635
65.0000;0.05059461
70.0000;0.05683264
75.0000;0.06849484
80.0000;0.07954974
85.0000;0.08978950
90.0000;0.10043078
95.0000;0.10978620
100.0000;0.11853118
105.0000;0.12682020
110.0000;0.13494792
115.0000;0.14278764
120.0000;0.15010972
125.0000;0.15617833
130.0000;0.16026516
135.0000;0.16340125
140.0000;0.16569226
145.0000;0.16618443
150.0000;0.16534173
155.0000;0.16292350
160.0000;0.15983289
165.0000;0.15563286
170.0000;0.15153023
175.0000;0.14806067
180.0000;0.14513438
185.0000;0.14265283
190.0000;0.14120156
195.0000;0.13988807
200.0000;0.13790885
205.0000;0.13371661
210.0000;0.13207951
215.0000;0.13123121
220.0000;0.13115609
225.0000;0.13133938
230.0000;0.13152428
235.0000;0.13194586
240.0000;0.13312211
245.0000;0.13364308
250.0000;0.13376165
255.0000;0.13368777
260.0000;0.13352918
265.0000;0.13299661
270.0000;0.13194783
275.0000;0.13063388
280.0000;0.12905214
285.0000;0.12730071
290.0000;0.12532886
295.0000;0.12323486
300.0000;0.12102842
305.0000;0.11859096
310.0000;0.11612319
315.0000;0.11354576
320.0000;0.11083665
325.0000;0.10812348
330.0000;0.10522970
335.0000;0.10230058
340.0000;0.09930103
345.0000;0.09632507
350.0000;0.09316750
355.0000;0.09006077
360.0000;0.08690596
365.0000;0.08376934
370.0000;0.08060148
375.0000;0.07750675
380.0000;0.07437993
385.0000;0.07135841
390.0000;0.06843307
395.0000;0.06557587
400.0000;0.06290018
405.0000;0.06008763
410.0000;0.05758948
415.0000;0.05475072
420.0000;0.05180030
425.0000;0.04886411
430.0000;0.04590150
435.0000;0.04295035
440.0000;0.04012677
445.0000;0.03728410
450.0000;0.03451746
455.0000;0.03178971
460.0000;0.02916101
465.0000;0.02663133
470.0000;0.02415096
475.0000;0.02174549
480.0000;0.01946257
485.0000;0.01729589
490.0000;0.01519291
495.0000;0.01323504
500.0000;0.01138172
505.0000;0.00966577
510.0000;0.00808887
515.0000;0.00662755
520.0000;0.00529789
525.0000;0.00410917
530.0000;0.00307082
535.0000;0.00219078
540.0000;0.00147647
545.0000;0.00092318
550.0000;0.00051531
555.0000;0.00025199
560.0000;0.00012438
565.0000;0.00012733
570.0000;0.00025940
575.0000;0.00052054
580.0000;0.00090920
585.0000;0.00142404
590.0000;0.00206374
595.0000;0.00282522
600.0000;0.00370198
605.0000;0.00469265
610.0000;0.00579485
615.0000;0.00699931
620.0000;0.00830080
625.0000;0.00970384
630.0000;0.01118346
635.0000;0.01275656
640.0000;0.01440911
645.0000;0.01612032
650.0000;0.01789588
655.0000;0.01972319
660.0000;0.02159774
665.0000;0.02352430
670.0000;0.02545158
675.0000;0.02738497
680.0000;0.02931687
685.0000;0.03125113
690.0000;0.03317184
695.0000;0.03505880
700.0000;0.03694185
705.0000;0.03879363
710.0000;0.04049671
715.0000;0.04216752
720.0000;0.04381444
725.0000;0.04551391
730.0000;0.04719146
735.0000;0.04865621
740.0000;0.05007249
745.0000;0.05151076
750.0000;0.05289608
755.0000;0.05423469
760.0000;0.05546638
765.0000;0.05659136
770.0000;0.05777295
775.0000;0.05894383
780.0000;0.06003834
785.0000;0.06105057
790.0000;0.06185885
795.0000;0.06252265
800.0000;0.06313585
805.0000;0.06367556
810.0000;0.06398230
815.0000;0.06406947
820.0000;0.06412120
825.0000;0.06419307
830.0000;0.06413247
835.0000;0.06381395
840.0000;0.06338485
845.0000;0.06286541
850.0000;0.06224266
855.0000;0.06162836
860.0000;0.06102304
865.0000;0.06030096
870.0000;0.05926593
875.0000;0.05814199
880.0000;0.05698494
885.0000;0.05577994
890.0000;0.05449602
895.0000;0.05310894
900.0000;0.05165747
905.0000;0.05017719
910.0000;0.04868553
915.0000;0.04714273
920.0000;0.04554029
925.0000;0.04389496
930.0000;0.04221994
935.0000;0.04054159
940.0000;0.03884794
945.0000;0.03714251
950.0000;0.03558782
955.0000;0.03402436
960.0000;0.03245447
965.0000;0.03076210
970.0000;0.02908806
975.0000;0.02743742
980.0000;0.02584987
985.0000;0.02429234
990.0000;0.02276719
995.0000;0.02128358
1000.0000;0.01984156
1005.0000;0.01844294
1010.0000;0.01709612
1015.0000;0.01580269
1020.0000;0.01455884
1025.0000;0.01336732
1030.0000;0.01223578
1035.0000;0.01115693
1040.0000;0.01013169
1045.0000;0.00916405
1050.0000;0.00825230
1055.0000;0.00739412
1060.0000;0.00658952
1065.0000;0.00584156
1070.0000;0.00514582
1075.0000;0.00450182
1080.0000;0.00390950
1085.0000;0.00336900
1090.0000;0.00287780
1095.0000;0.00243525
1100.0000;0.00204085
1105.0000;0.00169375
1110.0000;0.00139239
1115.0000;0.00113584
1120.0000;0.00092435
1125.0000;0.00075734
1130.0000;0.00063014
1135.0000;0.00054181
1140.0000;0.00049112
1145.0000;0.00047582
1150.0000;0.00049648
1155.0000;0.00055145
1160.0000;0.00063897
1165.0000;0.00075670
1170.0000;0.00090296
1175.0000;0.00107587
1180.0000;0.00127328
1185.0000;0.00149285
1190.0000;0.00173206
1195.0000;0.00198900
1200.0000;0.00226128
1205.0000;0.00254644
1210.0000;0.00284509
1215.0000;0.00315606
1220.0000;0.00347516
1225.0000;0.00380015
1230.0000;0.00412883
1235.0000;0.00445137
1240.0000;0.00476719
1245.0000;0.00507709
1250.0000;0.00537874
1255.0000;0.00566983
1260.0000;0.00594993
1265.0000;0.00621711
1270.0000;0.00646850
1275.0000;0.00670244
1280.0000;0.00691747
1285.0000;0.00712174
1290.0000;0.00733023
1295.0000;0.00752077
1300.0000;0.00769264
1305.0000;0.00784528
1310.0000;0.00797835
1315.0000;0.00807043
1320.0000;0.00813544
1325.0000;0.00818029
1330.0000;0.00820574
1335.0000;0.00821272
1340.0000;0.00820224
1345.0000;0.00821974
1350.0000;0.00822250
1355.0000;0.00821105
1360.0000;0.00818604
1365.0000;0.00814806
1370.0000;0.00809767
1375.0000;0.00804330
1380.0000;0.00797772
1385.0000;0.00790096
1390.0000;0.00781327
1395.0000;0.00771485
1400.0000;0.00760585
1405.0000;0.00747168
1410.0000;0.00732017
1415.0000;0.00715911
1420.0000;0.00698881
1425.0000;0.00680967
1430.0000;0.00662227
1435.0000;0.00642947
1440.0000;0.00626261
1445.0000;0.00608913
1450.0000;0.00591008
1455.0000;0.00572660
1460.0000;0.00553992
1465.0000;0.00535139
1470.0000;0.00516340
1475.0000;0.00498251
1480.0000;0.00480352
1485.0000;0.00462766
1490.0000;0.00445609
1495.0000;0.00428986
1500.0000;0.00412985
1505.0000;0.00397677
1510.0000;0.00383362
1515.0000;0.00369823
1520.0000;0.00357024
1525.0000;0.00344944
1530.0000;0.00333541
1535.0000;0.00322752
1540.0000;0.00312498
1545.0000;0.00302742
1550.0000;0.00293466
1555.0000;0.00284351
1560.0000;0.00275289
1565.0000;0.00266173
1570.0000;0.00256906
1575.0000;0.00247399
1580.0000;0.00237577
1585.0000;0.00227403
1590.0000;0.00216887
1595.0000;0.00205944
1600.0000;0.00194587
1605.0000;0.00182850
1610.0000;0.00170789
1615.0000;0.00158476
1620.0000;0.00146001
1625.0000;0.00133470
1630.0000;0.00121073
1635.0000;0.00108885
1640.0000;0.00097005
1645.0000;0.00085555
1650.0000;0.00074650
1655.0000;0.00064399
1660.0000;0.00054898
1665.0000;0.00046228
1670.0000;0.00038454
1675.0000;0.00031676
1680.0000;0.00025862
1685.0000;0.00021002
1690.0000;0.00017081
1695.0000;0.00014066
1700.0000;0.00011905
1705.0000;0.00010535
1710.0000;0.00009878
1715.0000;0.00009847
1720.0000;0.00010357
1725.0000;0.00011311
1730.0000;0.00012612
1735.0000;0.00014169
1740.0000;0.00015903
1745.0000;0.00017740
1750.0000;0.00019616
1755.0000;0.00021481
1760.0000;0.00023298
1765.0000;0.00025040
1770.0000;0.00026724
1775.0000;0.00028359
1780.0000;0.00029921
1785.0000;0.00031430
1790.0000;0.00032913
1795.0000;0.00034404
1800.0000;0.00035942
1805.0000;0.00037565
1810.0000;0.00039309
1815.0000;0.00041209
1820.0000;0.00043291
1825.0000;0.00045611
1830.0000;0.00048165
1835.0000;0.00050939
1840.0000;0.00053906
1845.0000;0.00057027
1850.0000;0.00060253
1855.0000;0.00063523
1860.0000;0.00066769
1865.0000;0.00069917
1870.0000;0.00072891
1875.0000;0.00075616
1880.0000;0.00078050
1885.0000;0.00080129
1890.0000;0.00081787
1895.0000;0.00082985
1900.0000;0.00083697
1905.0000;0.00083910
1910.0000;0.00083625
1915.0000;0.00082861
1920.0000;0.00081650
1925.0000;0.00080038
1930.0000;0.00078085
1935.0000;0.00075861
1940.0000;0.00073343
1945.0000;0.00070687
1950.0000;0.00068027
1955.0000;0.00065458
1960.0000;0.00063069
1965.0000;0.00060945
1970.0000;0.00059160
1975.0000;0.00057776
1980.0000;0.00056841
1985.0000;0.00056388
1990.0000;0.00056432
1995.0000;0.00056969
2000.0000;0.00057979
