Energy	delta	beta
10	0.0200393571662841	0.73
10.0009990998101	0.0199535530235392	0.72997677651177
10.0019983992802	0.0198849515192468	0.729942475759623
10.0029978984702	0.0198163500149543	0.729908175007477
10.0039975974399	0.0197477485106619	0.729873874255331
10.0049974962494	0.0196791470063694	0.729839573503185
10.0059975949584	0.019610545502077	0.729805272751038
10.006997893627	0.0195419439977846	0.729770971998892
10.0079983923151	0.0194733424934922	0.729736671246746
10.0089990910828	0.0194047409891997	0.7297023704946
10.00999998999	0.0193361394849073	0.729668069742454
10.0110010890968	0.0192675379806148	0.729633768990307
10.0120023884633	0.0191989364763224	0.729599468238161
10.0130038881495	0.0191303349720299	0.729565167486015
10.0140055882157	0.0190617334677375	0.729530866733869
10.0150074887219	0.0189931319634451	0.729496565981723
10.0160095897282	0.0189245304591526	0.729462265229576
10.017011891295	0.0188559289548602	0.72942796447743
10.0180143934824	0.0187873274505677	0.729393663725284
10.0190170963506	0.0187187259462753	0.729359362973138
10.0200199999599	0.0186501244419829	0.729325062220991
10.0210231043707	0.0185815229376905	0.729290761468845
10.0220264096431	0.018512921433398	0.729256460716699
10.0230299158376	0.0184443199291056	0.729222159964553
10.0240336230145	0.0183757184248131	0.729187859212407
10.0250375312343	0.0183071169205207	0.72915355846026
10.0260416405572	0.0182385154162282	0.729119257708114
10.0270459510438	0.0181699139119358	0.729084956955968
10.0280504627544	0.0181013124076433	0.729050656203822
10.0290551757497	0.0180327109033509	0.729016355451675
10.03006009009	0.0179641093990584	0.728982054699529
10.031065205836	0.017895507894766	0.728947753947383
10.0320705230481	0.0178269063904736	0.728913453195237
10.033076041787	0.0177583048861811	0.728879152443091
10.0340817621132	0.0176897033818887	0.728844851690944
10.0350876840874	0.0176211018775963	0.728810550938798
10.0360938077703	0.0175525003733038	0.728776250186652
10.0371001332224	0.0174838988690114	0.728741949434506
10.0381066605046	0.017415297364719	0.728707648682359
10.0391133896775	0.0173466958604265	0.728673347930213
10.0401203208019	0.0172780943561341	0.728639047178067
10.0411274539386	0.0172094928518416	0.728604746425921
10.0421347891483	0.0171408913475492	0.728570445673775
10.0431423264919	0.0170722898432567	0.728536144921628
10.0441500660302	0.0170036883389643	0.728501844169482
10.0451580078242	0.0169350868346718	0.728467543417336
10.0461661519346	0.0168664853303794	0.72843324266519
10.0471744984224	0.016797883826087	0.728398941913043
10.0481830473486	0.0167292823217946	0.728364641160897
10.0491917987742	0.0166606808175021	0.728330340408751
10.05020075276	0.0165920793132097	0.728296039656605
10.0512099093672	0.0165234778089172	0.728261738904459
10.0522192686568	0.0164548763046248	0.728227438152312
10.0532288306899	0.0163862748003323	0.728193137400166
10.0542385955274	0.0163176732960399	0.72815883664802
10.0552485632307	0.0162490717917475	0.728124535895874
10.0562587338607	0.016180470287455	0.728090235143728
10.0572691074787	0.0161118687831626	0.728055934391581
10.0582796841459	0.0160432672788701	0.728021633639435
10.0592904639234	0.0159746657745777	0.727987332887289
10.0603014468726	0.0159060642702852	0.727953032135143
10.0613126330546	0.0158374627659929	0.727918731382996
10.0623240225308	0.0157688612617004	0.72788443063085
10.0633356153624	0.015700259757408	0.727850129878704
10.0643474116109	0.0156316582531155	0.727815829126558
10.0653594113375	0.0155630567488231	0.727781528374411
10.0663716146037	0.0154944552445306	0.727747227622265
10.0673840214709	0.0154258537402382	0.727712926870119
10.0683966320005	0.0153572522359457	0.727678626117973
10.069409446254	0.0152886507316533	0.727644325365827
10.0704224642928	0.0152200492273608	0.72761002461368
10.0714356861785	0.0151514477230684	0.727575723861534
10.0724491119726	0.015082846218776	0.727541423109388
10.0734627417367	0.0150142447144835	0.727507122357242
10.0744765755323	0.0149456432101911	0.727472821605096
10.0754906134211	0.0148770417058987	0.727438520852949
10.0765048554646	0.0148084402016063	0.727404220100803
10.0775193017247	0.0147398386973138	0.727369919348657
10.0785339522628	0.0146712371930214	0.727335618596511
10.0795488071408	0.0146026356887289	0.727301317844364
10.0805638664204	0.0145340341844365	0.727267017092218
10.0815791301634	0.014465432680144	0.727232716340072
10.0825945984314	0.0143968311758516	0.727198415587926
10.0836102712864	0.0143282296715591	0.72716411483578
10.0846261487902	0.0142596281672667	0.727129814083633
10.0856422310046	0.0141910266629742	0.727095513331487
10.0866585179915	0.0141224251586818	0.727061212579341
10.0876750098128	0.0140538236543893	0.727026911827195
10.0886917065305	0.013985222150097	0.726992611075048
10.0897086082064	0.0139166206458045	0.726958310322902
10.0907257149027	0.0138480191415121	0.726924009570756
10.0917430266813	0.0137794176372196	0.72688970881861
10.0927605436042	0.0137108161329272	0.726855408066464
10.0937782657335	0.0136422146286348	0.726821107314317
10.0947961931312	0.0135736131243423	0.726786806562171
10.0958143258596	0.0135050116200499	0.726752505810025
10.0968326639806	0.0134364101157574	0.726718205057879
10.0978512075566	0.013367808611465	0.726683904305732
10.0988699566496	0.0132992071071725	0.726649603553586
10.0998889113219	0.0132306056028801	0.72661530280144
10.1009080716356	0.0131620040985876	0.726581002049294
10.1019274376532	0.0130934025942953	0.726546701297148
10.1029470094368	0.0130248010900028	0.726512400545001
10.1039667870487	0.0129561995857104	0.726478099792855
10.1049867705513	0.0128875980814179	0.726443799040709
10.106006960007	0.0128189965771255	0.726409498288563
10.1070273554781	0.012750395072833	0.726375197536416
10.1080479570271	0.0126817935685406	0.72634089678427
10.1090687647163	0.0126131920642481	0.726306596032124
10.1100897786082	0.0125445905599557	0.726272295279978
10.1111109987654	0.0124759890556633	0.726237994527832
10.1121324252504	0.0124073875513708	0.726203693775685
10.1131540581256	0.0123387860470784	0.726169393023539
10.1141758974536	0.0122701845427859	0.726135092271393
10.115197943297	0.0122015830384935	0.726100791519247
10.1162201957185	0.0121329815342011	0.726066490767101
10.1172426547807	0.0120643800299087	0.726032190014954
10.1182653205461	0.0119957785256162	0.725997889262808
10.1192881930776	0.0119271770213238	0.725963588510662
10.1203112724379	0.0118585755170313	0.725929287758516
10.1213345586896	0.0117899740127389	0.725894987006369
10.1223580518955	0.0117213725084464	0.725860686254223
10.1233817521185	0.011652771004154	0.725826385502077
10.1244056594213	0.0115841694998615	0.725792084749931
10.1254297738668	0.0115155679955691	0.725757783997785
10.1264540955178	0.0114469664912766	0.725723483245638
10.1274786244372	0.0113783649869842	0.725689182493492
10.1285033606881	0.0113097634826917	0.725654881741346
10.1295283043332	0.0112411619783994	0.7256205809892
10.1305534554355	0.0111725604741069	0.725586280237053
10.1315788140582	0.0111039589698145	0.725551979484907
10.1326043802641	0.011035357465522	0.725517678732761
10.1336301541163	0.0109667559612296	0.725483377980615
10.1346561356779	0.0108981544569372	0.725449077228469
10.135682325012	0.0108295529526447	0.725414776476322
10.1367087221817	0.0107609514483523	0.725380475724176
10.1377353272502	0.0106923499440598	0.72534617497203
10.1387621402805	0.0106237484397674	0.725311874219884
10.139789161336	0.0105551469354749	0.725277573467737
10.1408163904798	0.0104865454311825	0.725243272715591
10.1418438277753	0.01041794392689	0.725208971963445
10.1428714732856	0.0103493424225976	0.725174671211299
10.143899327074	0.0102807409183052	0.725140370459153
10.144927389204	0.0102121394140128	0.725106069707006
10.1459556597387	0.0101435379097203	0.72507176895486
10.1469841387417	0.0100749364054279	0.725037468202714
10.1480128262764	0.0100063349011354	0.725003167450568
10.1490417224061	0.00993773339684299	0.724968866698421
10.1500708271942	0.00986913189255054	0.724934565946275
10.1511001407044	0.0098005303882581	0.724900265194129
10.1521296630001	0.00973192888396565	0.724865964441983
10.1531593941447	0.00966332737967321	0.724831663689837
10.154189334202	0.00959472587538076	0.72479736293769
10.1552194832354	0.00952612437108831	0.724763062185544
10.1562498413086	0.00945752286679587	0.724728761433398
10.1572804084852	0.0093889213625035	0.724694460681252
10.1583111848288	0.00932031985821105	0.724660159929105
10.1593421704033	0.00925171835391861	0.724625859176959
10.1603733652721	0.00918311684962616	0.724591558424813
10.1614047694992	0.00911451534533372	0.724557257672667
10.1624363831482	0.00904591384104127	0.724522956920521
10.163468206283	0.00897731233674883	0.724488656168374
10.1645002389674	0.00890871083245638	0.724454355416228
10.1655324812652	0.00884010932816393	0.724420054664082
10.1665649332402	0.00877150782387149	0.724385753911936
10.1675975949565	0.00870290631957904	0.72435145315979
10.1686304664778	0.0086343048152866	0.724317152407643
10.1696635478682	0.00856570331099415	0.724282851655497
10.1706968391915	0.00849710180670171	0.724248550903351
10.1717303405119	0.00842850030240934	0.724214250151205
10.1727640518933	0.00835989879811689	0.724179949399058
10.1737979733998	0.00829129729382445	0.724145648646912
10.1748321050954	0.008222695789532	0.724111347894766
10.1758664470443	0.00815409428523955	0.72407704714262
10.1769009993106	0.00808549278094711	0.724042746390474
10.1779357619584	0.00801689127665466	0.724008445638327
10.178970735052	0.00794828977236222	0.723974144886181
10.1800059186554	0.00787968826806977	0.723939844134035
10.1810413128331	0.00781108676377733	0.723905543381889
10.1820769176491	0.00774248525948488	0.723871242629742
10.1831127331678	0.00767388375519243	0.723836941877596
10.1841487594536	0.00760528225089999	0.72380264112545
10.1851849965706	0.00753668074660762	0.723768340373304
10.1862214445834	0.00746807924231517	0.723734039621158
10.1872581035563	0.00739947773802273	0.723699738869011
10.1882949735537	0.00733087623373028	0.723665438116865
10.1893320546401	0.00726227472943784	0.723631137364719
10.1903693468799	0.00719367322514539	0.723596836612573
10.1914068503376	0.00712507172085294	0.723562535860426
10.1924445650777	0.0070564702165605	0.72352823510828
10.1934824911648	0.00698786871226805	0.723493934356134
10.1945206286635	0.00691926720797561	0.723459633603988
10.1955589776383	0.00685066570368316	0.723425332851842
10.1965975381539	0.00678206419939072	0.723391032099695
10.1976363102749	0.00671346269509827	0.723356731347549
10.1986752940661	0.00664486119080582	0.723322430595403
10.199714489592	0.00657625968651346	0.723288129843257
10.2007538969175	0.00650765818222101	0.72325382909111
10.2017935161073	0.00643905667792856	0.723219528338964
10.2028333472262	0.00637045517363612	0.723185227586818
10.203873390339	0.00630185366934367	0.723150926834672
10.2049136455105	0.00623325216505123	0.723116626082526
10.2059541128056	0.00616465066075878	0.723082325330379
10.2069947922892	0.00609604915646634	0.723048024578233
10.2080356840262	0.00602744765217389	0.723013723826087
10.2090767880815	0.00595884614788144	0.722979423073941
10.2101181045202	0.005890244643589	0.722945122321794
10.2111596334071	0.00582164313929655	0.722910821569648
10.2122013748074	0.00575304163500411	0.722876520817502
10.2132433287861	0.00568444013071174	0.722842220065356
10.2142854954082	0.00561583862641929	0.72280791931321
10.2153278747388	0.00554723712212685	0.722773618561063
10.2163704668432	0.0054786356178344	0.722739317808917
10.2174132717864	0.00541003411354195	0.722705017056771
10.2184562896336	0.00534143260924951	0.722670716304625
10.21949952045	0.00527283110495706	0.722636415552478
10.2205429643009	0.00520422960066462	0.722602114800332
10.2215866212515	0.00513562809637217	0.722567814048186
10.2226304913671	0.00506702659207973	0.72253351329604
10.223674574713	0.00499842508778728	0.722499212543894
10.2247188713546	0.00492982358349483	0.722464911791747
10.2257633813573	0.00486122207920239	0.722430611039601
10.2268081047863	0.00479262057490994	0.722396310287455
10.2278530417072	0.00472401907061757	0.722362009535309
10.2288981921855	0.00465541756632513	0.722327708783163
10.2299435562864	0.00458681606203268	0.722293408031016
10.2309891340757	0.00451821455774024	0.72225910727887
10.2320349256187	0.00444961305344779	0.722224806526724
10.2330809309811	0.00438101154915535	0.722190505774578
10.2341271502285	0.0043124100448629	0.722156205022431
10.2351735834264	0.00424380854057045	0.722121904270285
10.2362202306405	0.00417520703627801	0.722087603518139
10.2372670919364	0.00410660553198556	0.722053302765993
10.2383141673799	0.00403800402769312	0.722019002013847
10.2393614570366	0.00396940252340067	0.7219847012617
10.2404089609723	0.00390080101910823	0.721950400509554
10.2414566792527	0.00383219951481586	0.721916099757408
10.2425046119438	0.00376359801052341	0.721881799005262
10.2435527591112	0.00369499650623097	0.721847498253115
10.2446011208208	0.00362639500193852	0.721813197500969
10.2456496971386	0.00355779349764607	0.721778896748823
10.2466984881304	0.00348919199335363	0.721744595996677
10.2477474938621	0.00342059048906118	0.721710295244531
10.2487967143998	0.00335198898476874	0.721675994492384
10.2498461498093	0.00328338748047629	0.721641693740238
10.2508958001567	0.00321478597618385	0.721607392988092
10.2519456655081	0.0031461844718914	0.721573092235946
10.2529957459295	0.00307758296759895	0.721538791483799
10.2540460414871	0.00300898146330651	0.721504490731653
10.2550965522468	0.00294037995901406	0.721470189979507
10.2561472782749	0.00287177845472169	0.721435889227361
10.2571982196376	0.00280317695042925	0.721401588475215
10.258249376401	0.0027345754461368	0.721367287723068
10.2593007486314	0.00266597394184436	0.721332986970922
10.2603523363951	0.00259737243755191	0.721298686218776
10.2614041397583	0.00252877093325946	0.72126438546663
10.2624561587873	0.00246016942896702	0.721230084714483
10.2635083935485	0.00239156792467457	0.721195783962337
10.2645608441082	0.00232296642038213	0.721161483210191
10.2656135105329	0.00225436491608968	0.721127182458045
10.2666663928889	0.00218576341179724	0.721092881705899
10.2677194912427	0.00211716190750479	0.721058580953752
10.2687728056608	0.00204856040321234	0.721024280201606
10.2698263362097	0.00197995889891998	0.72098997944946
10.2708800829558	0.00191135739462753	0.720955678697314
10.2719340459659	0.00184275589033508	0.720921377945168
10.2729882253064	0.00177415438604264	0.720887077193021
10.2740426210439	0.00170555288175019	0.720852776440875
10.2750972332451	0.00163695137745775	0.720818475688729
10.2761520619767	0.0015683498731653	0.720784174936583
10.2772071073053	0.00149974836887286	0.720749874184436
