Energy(eV)	Delta	Beta
10	-0.660011614401858	0.794976190476191
10.0009990998101	-0.660382763558506	0.794540683729793
10.0019983992802	-0.66094809973112	0.793862280322656
10.0029978984702	-0.661513435903734	0.793183876915519
10.0039975974399	-0.662078772076348	0.792505473508382
10.0049974962494	-0.662644108248963	0.791827070101245
10.0059975949584	-0.663209444421577	0.791148666694108
10.006997893627	-0.66377478059419	0.790470263286972
10.0079983923151	-0.664340116766804	0.789791859879835
10.0089990910828	-0.664905452939419	0.789113456472698
10.00999998999	-0.665470789112033	0.788435053065561
10.0110010890968	-0.666036125284647	0.787756649658424
10.0120023884633	-0.666601461457261	0.787078246251287
10.0130038881495	-0.667166797629875	0.78639984284415
10.0140055882157	-0.667732133802489	0.785721439437013
10.0150074887219	-0.668297469975104	0.785043036029876
10.0160095897282	-0.668862806147718	0.784364632622739
10.017011891295	-0.669428142320332	0.783686229215602
10.0180143934824	-0.669993478492946	0.783007825808465
10.0190170963506	-0.67055881466556	0.782329422401328
10.0200199999599	-0.671124150838174	0.781651018994191
10.0210231043707	-0.671689487010788	0.780972615587054
10.0220264096431	-0.672254823183402	0.780294212179917
10.0230299158376	-0.672820159356016	0.77961580877278
10.0240336230145	-0.67338549552863	0.778937405365643
10.0250375312343	-0.673950831701245	0.778259001958507
10.0260416405572	-0.674516167873859	0.77758059855137
10.0270459510438	-0.675081504046473	0.776902195144233
10.0280504627544	-0.675646840219087	0.776223791737096
10.0290551757497	-0.676212176391701	0.775545388329958
10.03006009009	-0.676777512564315	0.774866984922821
10.031065205836	-0.67734284873693	0.774188581515684
10.0320705230481	-0.677908184909544	0.773510178108547
10.033076041787	-0.678473521082158	0.772831774701411
10.0340817621132	-0.679038857254771	0.772153371294274
10.0350876840874	-0.679604193427386	0.771474967887137
10.0360938077703	-0.6801695296	0.77079656448
10.0371001332224	-0.680734865772614	0.770118161072863
10.0381066605046	-0.681300201945228	0.769439757665726
10.0391133896775	-0.681865538117842	0.768761354258589
10.0401203208019	-0.682430874290456	0.768082950851452
10.0411274539386	-0.68299621046307	0.767404547444315
10.0421347891483	-0.683561546635685	0.766726144037178
10.0431423264919	-0.684126882808299	0.766047740630041
10.0441500660302	-0.684692218980913	0.765369337222904
10.0451580078242	-0.685257555153527	0.764690933815767
10.0461661519346	-0.685822891326141	0.76401253040863
10.0471744984224	-0.686388227498755	0.763334127001494
10.0481830473486	-0.686953563671369	0.762655723594357
10.0491917987742	-0.687518899843983	0.76197732018722
10.05020075276	-0.688084236016597	0.761298916780083
10.0512099093672	-0.688649572189211	0.760620513372946
10.0522192686568	-0.689214908361826	0.759942109965809
10.0532288306899	-0.68978024453444	0.759263706558672
10.0542385955274	-0.690345580707054	0.758585303151535
10.0552485632307	-0.690910916879668	0.757906899744398
10.0562587338607	-0.691476253052282	0.757228496337261
10.0572691074787	-0.692041589224896	0.756550092930124
10.0582796841459	-0.692606925397511	0.755871689522987
10.0592904639234	-0.693172261570125	0.75519328611585
10.0603014468726	-0.693737597742739	0.754514882708713
10.0613126330546	-0.694302933915352	0.753836479301577
10.0623240225308	-0.694868270087967	0.75315807589444
10.0633356153624	-0.695433606260581	0.752479672487303
10.0643474116109	-0.695998942433195	0.751801269080166
10.0653594113375	-0.696564278605809	0.751122865673029
10.0663716146037	-0.697129614778423	0.750444462265892
10.0673840214709	-0.697694950951037	0.749766058858755
10.0683966320005	-0.698260287123652	0.749087655451618
10.069409446254	-0.698825623296266	0.748409252044481
10.0704224642928	-0.69939095946888	0.747730848637344
10.0714356861785	-0.699956295641494	0.747052445230207
10.0724491119726	-0.700521631814108	0.74637404182307
10.0734627417367	-0.701086967986722	0.745695638415933
10.0744765755323	-0.701652304159336	0.745017235008797
10.0754906134211	-0.70221764033195	0.74433883160166
10.0765048554646	-0.702782976504564	0.743660428194523
10.0775193017247	-0.703348312677178	0.742982024787386
10.0785339522628	-0.703913648849792	0.742303621380249
10.0795488071408	-0.704478985022407	0.741625217973112
10.0805638664204	-0.705044321195021	0.740946814565975
10.0815791301634	-0.705609657367635	0.740268411158838
10.0825945984314	-0.706174993540249	0.739590007751701
10.0836102712864	-0.706740329712863	0.738911604344564
10.0846261487902	-0.707305665885477	0.738233200937427
10.0856422310046	-0.707871002058092	0.73755479753029
10.0866585179915	-0.708436338230706	0.736876394123153
10.0876750098128	-0.70900167440332	0.736197990716016
10.0886917065305	-0.709567010575934	0.73551958730888
10.0897086082064	-0.710132346748548	0.734841183901743
10.0907257149027	-0.710697682921162	0.734162780494606
10.0917430266813	-0.711263019093776	0.733484377087469
10.0927605436042	-0.71182835526639	0.732805973680332
10.0937782657335	-0.712393691439004	0.732127570273195
10.0947961931312	-0.712959027611618	0.731449166866058
10.0958143258596	-0.713524363784233	0.730770763458921
10.0968326639806	-0.714089699956847	0.730092360051784
10.0978512075566	-0.714655036129461	0.729413956644647
10.0988699566496	-0.715220372302075	0.72873555323751
10.0998889113219	-0.715785708474689	0.728057149830373
10.1009080716356	-0.716351044647303	0.727378746423236
10.1019274376532	-0.716916380819917	0.7267003430161
10.1029470094368	-0.717481716992531	0.726021939608963
10.1039667870487	-0.718047053165145	0.725343536201826
10.1049867705513	-0.718612389337759	0.724665132794689
10.106006960007	-0.719177725510374	0.723986729387552
10.1070273554781	-0.719743061682988	0.723308325980415
10.1080479570271	-0.720308397855602	0.722629922573278
10.1090687647163	-0.720873734028216	0.721951519166141
10.1100897786082	-0.72143907020083	0.721273115759004
10.1111109987654	-0.722004406373444	0.720594712351867
10.1121324252504	-0.722569742546059	0.71991630894473
10.1131540581256	-0.723135078718673	0.719237905537593
10.1141758974536	-0.723700414891287	0.718559502130456
10.115197943297	-0.724265751063901	0.717881098723319
10.1162201957185	-0.724831087236514	0.717202695316183
10.1172426547807	-0.725396423409129	0.716524291909046
10.1182653205461	-0.725961759581743	0.715845888501909
10.1192881930776	-0.726527095754357	0.715167485094772
10.1203112724379	-0.727092431926971	0.714489081687635
10.1213345586896	-0.727657768099585	0.713810678280498
10.1223580518955	-0.728223104272199	0.713132274873361
10.1233817521185	-0.728788440444814	0.712453871466224
10.1244056594213	-0.729353776617428	0.711775468059087
10.1254297738668	-0.729919112790042	0.71109706465195
10.1264540955178	-0.730484448962656	0.710418661244813
10.1274786244372	-0.73104978513527	0.709740257837676
10.1285033606881	-0.731615121307884	0.709061854430539
10.1295283043332	-0.732180457480498	0.708383451023402
10.1305534554355	-0.732745793653112	0.707705047616266
10.1315788140582	-0.733311129825726	0.707026644209129
10.1326043802641	-0.73387646599834	0.706348240801992
10.1336301541163	-0.734441802170955	0.705669837394855
10.1346561356779	-0.735007138343569	0.704991433987717
10.135682325012	-0.735572474516183	0.70431303058058
10.1367087221817	-0.736137810688797	0.703634627173443
10.1377353272502	-0.736703146861411	0.702956223766307
10.1387621402805	-0.737268483034025	0.70227782035917
10.139789161336	-0.73783381920664	0.701599416952033
10.1408163904798	-0.738399155379254	0.700921013544896
10.1418438277753	-0.738964491551868	0.700242610137759
10.1428714732856	-0.739529827724482	0.699564206730622
10.143899327074	-0.740095163897096	0.698885803323485
10.144927389204	-0.74066050006971	0.698207399916348
10.1459556597387	-0.741225836242324	0.697528996509211
10.1469841387417	-0.741791172414938	0.696850593102074
10.1480128262764	-0.742356508587552	0.696172189694937
10.1490417224061	-0.742921844760166	0.6954937862878
10.1500708271942	-0.743487180932781	0.694815382880663
10.1511001407044	-0.744052517105395	0.694136979473526
10.1521296630001	-0.744617853278009	0.693458576066389
10.1531593941447	-0.745183189450623	0.692780172659252
10.154189334202	-0.745748525623237	0.692101769252115
10.1552194832354	-0.746313861795851	0.691423365844978
10.1562498413086	-0.746879197968465	0.690744962437841
10.1572804084852	-0.747444534141079	0.690066559030705
10.1583111848288	-0.748009870313693	0.689388155623568
10.1593421704033	-0.748575206486307	0.688709752216431
10.1603733652721	-0.749140542658921	0.688031348809294
10.1614047694992	-0.749705878831536	0.687352945402157
10.1624363831482	-0.75027121500415	0.68667454199502
10.163468206283	-0.750836551176764	0.685996138587883
10.1645002389674	-0.751401887349378	0.685317735180746
10.1655324812652	-0.751967223521992	0.684639331773609
10.1665649332402	-0.752532559694606	0.683960928366472
10.1675975949565	-0.753097895867221	0.683282524959335
10.1686304664778	-0.753663232039835	0.682604121552198
10.1696635478682	-0.754228568212449	0.681925718145061
10.1706968391915	-0.754793904385063	0.681247314737924
10.1717303405119	-0.755359240557677	0.680568911330788
10.1727640518933	-0.755924576730291	0.679890507923651
10.1737979733998	-0.756489912902905	0.679212104516514
10.1748321050954	-0.757055249075519	0.678533701109377
10.1758664470443	-0.757620585248133	0.67785529770224
10.1769009993106	-0.758185921420747	0.677176894295103
10.1779357619584	-0.758751257593362	0.676498490887966
10.178970735052	-0.759316593765976	0.675820087480829
10.1800059186554	-0.75988192993859	0.675141684073692
10.1810413128331	-0.760447266111204	0.674463280666555
10.1820769176491	-0.761012602283818	0.673784877259418
10.1831127331678	-0.761577938456432	0.673106473852281
10.1841487594536	-0.762143274629047	0.672428070445144
10.1851849965706	-0.76270861080166	0.671749667038008
10.1862214445834	-0.763273946974274	0.671071263630871
10.1872581035563	-0.763839283146888	0.670392860223734
10.1882949735537	-0.764404619319503	0.669714456816597
10.1893320546401	-0.764969955492117	0.66903605340946
10.1903693468799	-0.765535291664731	0.668357650002323
10.1914068503376	-0.766100627837345	0.667679246595186
10.1924445650777	-0.766665964009959	0.667000843188049
10.1934824911648	-0.767231300182573	0.666322439780912
10.1945206286635	-0.767796636355187	0.665644036373775
10.1955589776383	-0.768361972527802	0.664965632966638
10.1965975381539	-0.768927308700416	0.664287229559501
10.1976363102749	-0.76949264487303	0.663608826152364
10.1986752940661	-0.769949187519999	0.663023712490667
10.199714489592	-0.769453747456	0.663254917853867
10.2007538969175	-0.768958307392	0.663486123217067
10.2017935161073	-0.768462867328	0.663717328580267
10.2028333472262	-0.767967427264	0.663948533943467
10.203873390339	-0.7674719872	0.664179739306667
10.2049136455105	-0.766976547135999	0.664410944669867
10.2059541128056	-0.766481107071999	0.664642150033067
10.2069947922892	-0.765985667007999	0.664873355396267
10.2080356840262	-0.765490226943999	0.665104560759467
10.2090767880815	-0.764994786879999	0.665335766122667
10.2101181045202	-0.764499346815999	0.665566971485867
10.2111596334071	-0.764003906751999	0.665798176849067
10.2122013748074	-0.763508466687999	0.666029382212267
10.2132433287861	-0.763013026624	0.666260587575467
10.2142854954082	-0.76251758656	0.666491792938667
10.2153278747388	-0.762022146496	0.666722998301867
10.2163704668432	-0.761526706432	0.666954203665067
10.2174132717864	-0.761031266368	0.667185409028267
10.2184562896336	-0.760535826304	0.667416614391467
10.21949952045	-0.760040386239999	0.667647819754667
10.2205429643009	-0.759544946175999	0.667879025117867
10.2215866212515	-0.759049506111999	0.668110230481067
10.2226304913671	-0.758554066047999	0.668341435844267
10.223674574713	-0.758058625983999	0.668572641207467
10.2247188713546	-0.757563185919999	0.668803846570667
10.2257633813573	-0.757067745855999	0.669035051933867
10.2268081047863	-0.756572305791999	0.669266257297067
10.2278530417072	-0.756076865728	0.669497462660267
10.2288981921855	-0.755581425664	0.669728668023467
10.2299435562864	-0.7550859856	0.669959873386667
10.2309891340757	-0.754590545536	0.670191078749867
10.2320349256187	-0.754095105472	0.670422284113067
10.2330809309811	-0.753599665407999	0.670653489476267
10.2341271502285	-0.753104225343999	0.670884694839467
10.2351735834264	-0.752608785279999	0.671115900202667
10.2362202306405	-0.752113345215999	0.671347105565867
10.2372670919364	-0.751617905151999	0.671578310929067
10.2383141673799	-0.751122465087999	0.671809516292267
10.2393614570366	-0.750627025023999	0.672040721655467
10.2404089609723	-0.750131584959999	0.672271927018667
10.2414566792527	-0.749636144896	0.672503132381867
10.2425046119438	-0.749140704832	0.672734337745067
10.2435527591112	-0.748645264768	0.672965543108267
10.2446011208208	-0.748149824704	0.673196748471467
10.2456496971386	-0.74765438464	0.673427953834667
10.2466984881304	-0.747158944576	0.673659159197867
10.2477474938621	-0.746663504511999	0.673890364561067
10.2487967143998	-0.746168064447999	0.674121569924267
10.2498461498093	-0.745672624383999	0.674352775287467
10.2508958001567	-0.745177184319999	0.674583980650667
10.2519456655081	-0.744681744255999	0.674815186013867
10.2529957459295	-0.744186304191999	0.675046391377067
10.2540460414871	-0.743690864127999	0.675277596740267
10.2550965522468	-0.743195424063999	0.675508802103467
10.2561472782749	-0.742699984	0.675740007466667
10.2571982196376	-0.742204543936	0.675971212829867
10.258249376401	-0.741709103872	0.676202418193067
10.2593007486314	-0.741213663808	0.676433623556267
10.2603523363951	-0.740718223744	0.676664828919467
10.2614041397583	-0.740222783679999	0.676896034282667
10.2624561587873	-0.739727343615999	0.677127239645867
10.2635083935485	-0.739231903551999	0.677358445009067
10.2645608441082	-0.738736463487999	0.677589650372267
10.2656135105329	-0.738241023423999	0.677820855735467
10.2666663928889	-0.737745583359999	0.678052061098667
10.2677194912427	-0.737250143295999	0.678283266461867
10.2687728056608	-0.736754703231999	0.678514471825067
10.2698263362097	-0.736259263168	0.678745677188267
10.2708800829558	-0.735763823104	0.678976882551467
10.2719340459659	-0.73526838304	0.679208087914667
10.2729882253064	-0.734772942976	0.679439293277867
10.2740426210439	-0.734277502912	0.679670498641067
10.2750972332451	-0.733782062848	0.679901704004267
10.2761520619767	-0.733286622783999	0.680132909367467
10.2772071073053	-0.732791182719999	0.680364114730667
10.2782623692978	-0.732295742655999	0.680595320093867
10.2793178480207	-0.731800302591999	0.680826525457067
10.2803735435409	-0.731304862527999	0.681057730820267
10.2814294559253	-0.730809422463999	0.681288936183467
10.2824855852405	-0.730313982399999	0.681520141546667
10.2835419315536	-0.729818542335999	0.681751346909867
10.2845984949313	-0.729323102272	0.681982552273067
10.2856552754406	-0.728827662208	0.682213757636267
10.2867122731484	-0.728332222144	0.682444962999467
10.2877694881217	-0.72783678208	0.682676168362667
10.2888269204276	-0.727341342016	0.682907373725867
10.2898845701329	-0.726845901951999	0.683138579089067
10.2909424373048	-0.726350461887999	0.683369784452267
10.2920005220103	-0.725855021823999	0.683600989815467
10.2930588243165	-0.725359581759999	0.683832195178667
10.2941173442907	-0.724864141695999	0.684063400541867
10.2951760819998	-0.724368701631999	0.684294605905067
10.2962350375112	-0.723873261567999	0.684525811268267
10.2972942108921	-0.723377821503999	0.684757016631467
10.2983536022096	-0.72288238144	0.684988221994667
10.2994132115311	-0.722386941376	0.685219427357867
10.3004730389238	-0.721891501312	0.685450632721067
10.3015330844552	-0.721396061248	0.685681838084267
10.3025933481924	-0.720900621184	0.685913043447467
10.303653830203	-0.72040518112	0.686144248810667
10.3047145305543	-0.719909741055999	0.686375454173867
10.3057754493138	-0.719414300991999	0.686606659537067
10.3068365865489	-0.718918860927999	0.686837864900267
10.3078979423271	-0.718423420863999	0.687069070263467
10.308959516716	-0.717927980799999	0.687300275626667
10.310021309783	-0.717432540735999	0.687531480989867
10.3110833215959	-0.716937100671999	0.687762686353067
10.3121455522221	-0.716441660607999	0.687993891716267
10.3132080017293	-0.715946220544	0.688225097079467
10.3142706701852	-0.71545078048	0.688456302442667
10.3153335576575	-0.714955340416	0.688687507805867
10.3163966642138	-0.714459900352	0.688918713169067
10.3174599899219	-0.713964460288	0.689149918532267
10.3185235348496	-0.713469020223999	0.689381123895467
10.3195872990647	-0.712973580159999	0.689612329258667
10.3206512826351	-0.712478140095999	0.689843534621867
10.3217154856285	-0.711982700031999	0.690074739985067
10.3227799081128	-0.711487259967999	0.690305945348267
10.323844550156	-0.710991819903999	0.690537150711467
10.324909411826	-0.710496379839999	0.690768356074667
10.3259744931908	-0.710000939775999	0.690999561437867
10.3270397943184	-0.710301065624353	0.691031988222587
10.3281053152768	-0.710602703410655	0.691064037237382
10.329171056134	-0.710904341196956	0.691096086252177
10.3302370169581	-0.711205978983257	0.691128135266971
10.3313031978173	-0.711507616769559	0.691160184281766
10.3323695987796	-0.71180925455586	0.69119223329656
10.3334362199133	-0.712110892342162	0.691224282311355
10.3345030612865	-0.712412530128463	0.691256331326149
10.3355701229674	-0.712714167914764	0.691288380340944
10.3366374050244	-0.713015805701066	0.691320429355738
10.3377049075256	-0.713317443487367	0.691352478370533
10.3387726305394	-0.713619081273669	0.691384527385327
10.3398405741341	-0.71392071905997	0.691416576400122
10.3409087383781	-0.714222356846271	0.691448625414916
10.3419771233398	-0.714523994632572	0.691480674429711
10.3430457290875	-0.714825632418874	0.691512723444505
10.3441145556898	-0.715127270205175	0.6915447724593
10.345183603215	-0.715428907991477	0.691576821474094
10.3462528717318	-0.715730545777778	0.691608870488889
10.3473223613086	-0.716032183564079	0.691640919503683
10.348392072014	-0.716333821350381	0.691672968518478
10.3494620039167	-0.716635459136682	0.691705017533272
10.3505321570851	-0.716937096922984	0.691737066548067
10.3516025315879	-0.717238734709285	0.691769115562861
10.3526731274939	-0.717540372495586	0.691801164577656
10.3537439448717	-0.717842010281888	0.691833213592451
10.3548149837901	-0.718143648068189	0.691865262607245
10.3558862443177	-0.71844528585449	0.691897311622039
10.3569577265235	-0.718746923640792	0.691929360636834
10.3580294304762	-0.719048561427093	0.691961409651629
10.3591013562446	-0.719350199213394	0.691993458666423
10.3601735038977	-0.719651836999696	0.692025507681218
10.3612458735043	-0.719953474785997	0.692057556696012
10.3623184651334	-0.720255112572299	0.692089605710807
10.3633912788539	-0.7205567503586	0.692121654725601
10.3644643147348	-0.720858388144901	0.692153703740396
10.3655375728451	-0.721160025931203	0.69218575275519
10.3666110532539	-0.721461663717504	0.692217801769985
10.3676847560302	-0.721763301503806	0.692249850784779
10.3687586812432	-0.722064939290107	0.692281899799574
10.3698328289619	-0.722366577076408	0.692313948814368
10.3709071992556	-0.722668214862709	0.692345997829163
10.3719817921934	-0.722969852649011	0.692378046843957
10.3730566078445	-0.723271490435312	0.692410095858752
10.3741316462782	-0.723573128221614	0.692442144873546
10.3752069075638	-0.723874766007915	0.692474193888341
10.3762823917704	-0.724176403794216	0.692506242903135
10.3773580989676	-0.724478041580518	0.69253829191793
10.3784340292246	-0.724779679366819	0.692570340932725
10.3795101826109	-0.725081317153121	0.692602389947519
10.3805865591958	-0.725382954939422	0.692634438962314
10.3816631590487	-0.725684592725723	0.692666487977108
10.3827399822393	-0.725986230512025	0.692698536991903
10.3838170288369	-0.726287868298326	0.692730586006697
10.3848942989111	-0.726589506084627	0.692762635021492
10.3859717925315	-0.726891143870929	0.692794684036286
10.3870495097676	-0.72719278165723	0.692826733051081
10.3881274506891	-0.727494419443531	0.692858782065875
10.3892056153656	-0.727796057229833	0.69289083108067
10.3902840038668	-0.728097695016134	0.692922880095464
10.3913626162625	-0.728399332802436	0.692954929110259
10.3924414526222	-0.728700970588737	0.692986978125053
10.3935205130159	-0.729002608375038	0.693019027139848
10.3945997975132	-0.72930424616134	0.693051076154642
10.395679306184	-0.729605883947641	0.693083125169437
10.3967590390983	-0.729907521733943	0.693115174184231
10.3978389963257	-0.730209159520244	0.693147223199026
10.3989191779363	-0.730510797306545	0.69317927221382
10.399999584	-0.730812435092846	0.693211321228615
10.4010802145868	-0.731114072879148	0.693243370243409
10.4021610697666	-0.731415710665449	0.693275419258204
10.4032421496094	-0.731717348451751	0.693307468272998
10.4043234541854	-0.732018986238052	0.693339517287793
10.4054049835647	-0.732320624024353	0.693371566302587
10.4064867378172	-0.732622261810655	0.693403615317382
10.4075687170132	-0.732923899596956	0.693435664332177
10.4086509212229	-0.733225537383258	0.693467713346971
10.4097333505163	-0.733527175169559	0.693499762361766
10.4108160049639	-0.73382881295586	0.69353181137656
10.4118988846357	-0.734130450742162	0.693563860391355
10.4129819896022	-0.734432088528463	0.693595909406149
10.4140653199336	-0.734733726314764	0.693627958420944
10.4151488757003	-0.735035364101066	0.693660007435738
10.4162326569726	-0.735337001887367	0.693692056450533
10.417316663821	-0.735638639673668	0.693724105465327
10.4184008963159	-0.73594027745997	0.693756154480122
10.4194853545277	-0.736241915246271	0.693788203494916
10.4205700385269	-0.736543553032573	0.693820252509711
10.4216549483842	-0.736845190818874	0.693852301524505
10.4227400841699	-0.737146828605175	0.6938843505393
10.4238254459547	-0.737448466391477	0.693916399554094
10.4249110338092	-0.737750104177778	0.693948448568889
10.4259968478041	-0.73805174196408	0.693980497583683
10.42708288801	-0.738353379750381	0.694012546598478
10.4281691544976	-0.738655017536682	0.694044595613272
10.4292556473376	-0.738956655322983	0.694076644628067
10.4303423666009	-0.739258293109285	0.694108693642861
10.4314293123581	-0.739559930895586	0.694140742657656
10.4325164846801	-0.739861568681888	0.69417279167245
10.4336038836378	-0.740163206468189	0.694204840687245
10.434691509302	-0.74046484425449	0.69423688970204
10.4357793617436	-0.740766482040792	0.694268938716834
10.4368674410335	-0.741068119827093	0.694300987731629
10.4379557472428	-0.741369757613395	0.694333036746423
10.4390442804424	-0.741671395399696	0.694365085761218
10.4401330407034	-0.741973033185997	0.694397134776012
